@@,geo,time,mean_years_in_school_women_25_to_34_years,changes(%)
->,mrt,1971,0.5->1.24,148.00
->,mus,1971,2.8->3.35,19.64
->,mwi,1971,1.1->1.33,20.91
->,mys,1971,3.3->3.92,18.79
->,nam,1971,3->3.56,18.67
->,ner,1971,0.1->0.34,240.00
->,nga,1971,1.3->1.94,49.23
->,nic,1971,3.7->3.3,10.81
->,nor,1971,7.3->8.54,16.99
->,npl,1971,0.2->0.65,225.00
->,omn,1971,1.3->2.65,103.85
->,pak,1971,0.5->0.84,68.00
->,per,1971,3.9->4.73,21.28
->,png,1971,1->1.8,80.00
+++,prk,1971,4.73,
->,prt,1971,3.8->4.65,22.37
->,pry,1971,3.5->4.04,15.43
->,pse,1971,3.2->4.45,39.06
->,qat,1971,3.3->4.14,25.45
->,rus,1971,6.9->8.27,19.86
->,rwa,1971,0.9->1.36,51.11
->,sau,1971,1.4->2.85,103.57
->,sdn,1971,0.8->1.39,73.75
->,sen,1971,0.6->0.75,25.00
->,sgp,1971,4.2->5.38,28.10
->,slb,1971,1.7->1.94,14.12
->,som,1971,0.2->0.49,145.00
+++,ssd,1971,0.28,
->,stp,1971,1.6->1.78,11.25
->,svk,1971,6.2->7.33,18.23
->,swz,1971,2.4->3.32,38.33
->,syc,1971,5->4.47,10.60
->,syr,1971,1.5->2.02,34.67
->,tcd,1971,0.2->0.38,90.00
->,tgo,1971,0.6->1.08,80.00
->,tls,1971,0.5->2,300.00
->,ton,1971,6.9->6.13,11.16
->,tun,1971,1.1->1.58,43.64
->,tur,1971,1.9->3.02,58.95
->,twn,1971,4.5->6.49,44.22
->,tza,1971,1.7->2.3,35.29
->,uga,1971,1.3->1.81,39.23
->,ukr,1971,9.1->7.45,18.13
+++,vct,1971,4.44,
->,vnm,1971,4.6->3.71,19.35
->,vut,1971,2.6->3.14,20.77
->,yem,1971,0.1->0.26,160.00
->,zaf,1971,3.9->5.29,35.64
->,zwe,1971,2.7->3.76,39.26
->,afg,1972,0.1->0.22,120.00
->,ago,1972,1.1->1.51,37.27
->,alb,1972,6.3->5.6,11.11
+++,and,1972,8.43,
->,arm,1972,7.8->6.69,14.23
->,atg,1972,8.5->7.61,10.47
->,aus,1972,9.8->8.65,11.73
->,bdi,1972,0.7->1.07,52.86
->,ben,1972,0.5->0.7,40.00
->,bfa,1972,0.2->0.39,95.00
->,bgd,1972,0.9->1.22,35.56
->,bhr,1972,3->3.5,16.67
->,bhs,1972,7.6->6.69,11.97
->,bih,1972,3.6->4.6,27.78
->,blr,1972,8.8->7.8,11.36
->,blz,1972,4.9->3.74,23.67
->,bol,1972,3->3.59,19.67
->,bra,1972,3.2->3.53,10.31
+++,brb,1972,4.56,
+++,brn,1972,7.68,
+++,btn,1972,0.85,
->,bwa,1972,2.2->2.53,15.00
->,caf,1972,0.6->1.2,100.00
->,chn,1972,2.7->3.77,39.63
->,civ,1972,0.6->1.01,68.33
->,cmr,1972,1.5->1.9,26.67
->,cod,1972,1.6->1.96,22.50
->,cog,1972,2->2.78,39.00
->,com,1972,0.7->1.65,135.71
->,cpv,1972,1.2->1.86,55.00
->,cub,1972,6.9->6.21,10.00
->,cze,1972,9.8->8.23,16.02
->,dji,1972,0.5->1.06,112.00
+++,dma,1972,5.6,
->,dom,1972,3.9->4.36,11.79
->,dza,1972,1.6->2.49,55.62
->,egy,1972,2->2.66,33.00
->,eri,1972,0.4->1.03,157.50
->,esp,1972,4->6.13,53.25
->,est,1972,8.5->7.61,10.47
->,eth,1972,0.2->0.98,390.00
+++,fsm,1972,5.8,
->,gab,1972,2.7->4.59,70.00
->,gbr,1972,9.3->8.15,12.37
->,geo,1972,9.5->7.83,17.58
->,gin,1972,0.3->0.5,66.67
->,gmb,1972,0.6->0.9,50.00
->,gnb,1972,0.3->0.55,83.33
->,gnq,1972,2->2.35,17.50
+++,grd,1972,4.56,
->,gtm,1972,1.6->2.14,33.75
->,guy,1972,4.3->4.78,11.16
->,hrv,1972,5.2->6.05,16.35
->,hti,1972,0.9->1.85,105.56
->,idn,1972,2.2->3.08,40.00
->,ind,1972,1.2->1.4,16.67
->,irq,1972,2.9->1.7,41.38
+++,isl,1972,8.01,
->,ita,1972,7.1->8,12.68
->,jam,1972,6.8->5.78,15.00
->,jor,1972,3.2->4.3,34.37
->,ken,1972,1.9->2.47,30.00
->,khm,1972,1.4->1.73,23.57
->,kwt,1972,3.3->4.48,35.76
->,lao,1972,1->1.8,80.00
->,lbn,1972,3.8->4.56,20.00
+++,lby,1972,1.89,
->,lca,1972,6->5.26,12.33
->,lva,1972,9.5->7.88,17.05
->,mar,1972,0.7->1.25,78.57
->,mdg,1972,1.8->2.03,12.78
->,mdv,1972,3.3->2.68,18.79
->,mli,1972,0.3->0.36,20.00
+++,mlt,1972,6.07,
->,mmr,1972,2.1->2.55,21.43
->,mng,1972,6.3->5.52,12.38
->,moz,1972,0.6->0.83,38.33
->,mrt,1972,0.5->1.28,156.00
->,mus,1972,2.9->3.46,19.31
->,mwi,1972,1.2->1.38,15.00
->,mys,1972,3.5->4.06,16.00
->,nam,1972,3.1->3.66,18.06
->,ner,1972,0.1->0.35,250.00
->,nga,1972,1.3->2,53.85
->,nic,1972,3.8->3.4,10.53
->,nor,1972,7.7->8.7,12.99
->,npl,1972,0.3->0.67,123.33
->,omn,1972,1.4->2.73,95.00
->,pak,1972,0.6->0.87,45.00
->,per,1972,4.1->4.86,18.54
->,png,1972,1.1->1.85,68.18
+++,prk,1972,4.85,
->,prt,1972,4->4.77,19.25
->,pry,1972,3.7->4.15,12.16
->,pse,1972,3.4->4.57,34.41
->,qat,1972,3.5->4.26,21.71
->,rus,1972,7.2->8.44,17.22
->,rwa,1972,1->1.41,41.00
->,sau,1972,1.5->2.95,96.67
->,sdn,1972,0.8->1.44,80.00
->,sen,1972,0.6->0.78,30.00
->,sgp,1972,4.4->5.53,25.68
->,slb,1972,1.8->2,11.11
->,som,1972,0.2->0.5,150.00
+++,ssd,1972,0.29,
->,stp,1972,1.6->1.84,15.00
