@@,geo,time,income_share_of_2nd_richest_20percent,changes(%)
+++,ukr,2006,22.29,
+++,ukr,2007,22.53,
+++,ukr,2008,22.53,
+++,ukr,2009,22.52,
+++,ukr,2010,22.39,
+++,ukr,2011,22.5,
+++,ukr,2012,22.55,
+++,ukr,2013,22.21,
+++,ukr,2014,22.35,
+++,gbr,2004,22.31,
+++,gbr,2005,22.88,
+++,gbr,2006,22.43,
+++,gbr,2007,22.03,
+++,gbr,2008,22.57,
+++,gbr,2009,22.57,
+++,gbr,2010,22.54,
+++,gbr,2011,22.89,
+++,gbr,2012,23.1,
+++,usa,1986,23.65,
+++,usa,1991,23.33,
+++,usa,1994,22.66,
+++,usa,1997,22.38,
---,gbr,1999,22.47,
+++,usa,2004,22.52,
+++,usa,2007,22.55,
+++,usa,2010,22.96,
+++,usa,2013,22.71,
+++,ury,1981,21.62,
+++,ury,1989,21.8,
+++,ury,1995,22.34,
+++,ury,1997,22.08,
+++,ury,2002,21.7,
+++,ury,2003,21.26,
+++,ury,2004,21.36,
+++,ury,2007,21,
+++,ury,2008,21.29,
+++,ury,2009,21.24,
+++,ury,2010,21.44,
+++,ury,2011,21.98,
+++,ury,2012,22.78,
+++,ury,2013,22.4,
+++,ury,2014,22.47,
+++,uzb,2000,21.71,
+++,vut,2010,22.16,
+++,ven,1992,22.04,
+++,ven,1995,21.49,
---,ven,1993,22.09,
---,ven,1996,21.33,
+++,ven,1999,21.37,
+++,ven,2001,21.6,
+++,ven,2002,21.66,
+++,ven,2004,22.25,
+++,vnm,1992,21.32,
---,vnm,1993,21.37,
+++,vnm,2008,21.45,
+++,vnm,2010,20.71,
+++,vnm,2012,21.75,
+++,vnm,2014,22.03,
+++,pse,2004,22.45,
+++,pse,2005,22.52,
+++,pse,2006,21.8,
+++,pse,2007,22.25,
+++,pse,2009,21.9,
---,yem,1992,21.81,
---,yem,1998,22.78,
---,yem,2005,20.95,
+++,zmb,2002,20.65,
---,zmb,2003,20.64,
+++,zmb,2006,19.15,
+++,zmb,2010,17.89,
