@@,geo,time,income_share_of_middle_20percent,changes(%)
+++,blz,1994,9.75,
+++,blz,1995,11.15,
+++,blz,1996,10.68,
+++,blz,1997,10.21,
+++,blz,1998,11.27,
+++,blz,1999,12.01,
---,bel,2000,16.31,
+++,ben,2011,13.39,
+++,btn,2007,15.31,
+++,btn,2012,15.04,
+++,bol,1990,14.53,
+++,bol,1992,12.54,
---,bol,1991,14.76,
+++,bol,2000,10.43,
+++,bol,2001,11.15,
+++,bol,2004,11.42,
+++,bol,2006,11.45,
+++,bol,2007,11.57,
+++,bol,2008,12.99,
+++,bol,2009,13.88,
+++,bol,2011,14.33,
---,bwa,1995,9.64,
---,caf,1993,9.56,
---,chn,2005,14.66,
---,col,1995,11.03,
---,col,2006,10.98,
---,cod,2006,13.79,
---,civ,1993,15.56,
---,hrv,2005,17.47,
---,dji,1996,16.24,
---,egy,1991,16.27,
---,egy,1996,16.4,
---,slv,1989,14.52,
---,eth,1982,16.36,
---,eth,2000,16.72,
---,fin,2000,17.47,
---,fra,1995,17.19,
---,deu,2000,17.79,
---,gha,1989,16.03,
---,gha,1992,15.4,
---,gha,2006,14.73,
---,grc,2000,16.84,
---,gtm,1998,11.51,
---,gtm,2002,11.78,
---,gin,2003,14.11,
---,gnb,1991,12.02,
---,guy,1993,12.39,
---,hkg,1996,13.85,
---,irl,2000,16.31,
---,ita,2000,16.75,
---,jor,1992,14.03,
---,jor,1997,15.54,
---,jor,2003,15.23,
---,jor,2006,15.2,
---,kgz,1999,16.24,
---,lao,2003,16.18,
---,lso,1993,10.19,
---,lso,1995,9,
---,mdg,1980,13.35,
---,mwi,1998,12.32,
---,mrt,1996,15.96,
---,mng,2005,16.97,
---,mar,1991,14.99,
---,mar,1999,15.13,
---,mar,2001,14.73,
---,mar,2007,14.54,
---,moz,1997,13.86,
---,moz,2003,13.06,
---,nam,1993,5.46,
---,npl,1996,14.97,
---,npl,2004,12.45,
---,nld,1999,17.24,
---,nzl,1997,15.81,
->,nga->bol,1993->2012,14.57,
+++,bol,2013,14.01,
+++,bol,2014,13.73,
+++,bih,2007,16.6,
+++,bih,2011,16.57,
->,bwa,1986->1985,11.42,
->,bwa,1994->1993,9.76,
+++,bwa,2002,7.81,
+++,bwa,2009,9.54,
->,bra,1992,10.95->12.25,11.87
+++,bra,2004,10.93,
+++,bra,2006,11.23,
+++,bra,2008,11.8,
+++,bra,2009,11.98,
+++,bra,2011,12.3,
+++,bra,2012,12.44,
+++,bra,2013,12.4,
+++,bra,2014,12.64,
+++,bgr,1992,17.09,
+++,bgr,1995,15.97,
+++,bgr,2006,17.09,
+++,bgr,2007,17.92,
+++,bgr,2008,16.86,
+++,bgr,2009,16.98,
+++,bgr,2010,16.73,
+++,bgr,2011,17.08,
+++,bgr,2012,16.59,
+++,bfa,2009,14.66,
+++,bfa,2014,15.05,
+++,cpv,2007,13.04,
+++,khm,2008,15.52,
+++,khm,2009,15.54,
+++,khm,2010,15.59,
+++,khm,2011,15.94,
+++,khm,2012,16.3,
+++,cmr,2007,14,
+++,cmr,2014,13.72,
+++,can,1981,16.99,
+++,can,1987,17.1,
+++,can,1991,17.24,
+++,can,1994,17.25,
->,alb->can,1997,17.42,
+++,can,1998,17,
+++,can,2004,16.87,
+++,can,2007,16.64,
+++,can,2010,16.79,
+++,caf,1992,9.55,
+++,caf,2008,11.12,
+++,tcd,2011,14.8,
+++,chl,1992,10.98,
+++,chl,2009,11.74,
+++,chl,2011,11.86,
+++,chl,2013,12.05,
+++,chn,2008,14.6,
+++,chn,2012,14.85,
+++,col,1988,12.13,
+++,col,1989,11.85,
+++,col,1991,12.58,
+++,col,1992,12.24,
+++,col,2001,10.99,
+++,col,2002,10.35,
+++,col,2004,10.85,
+++,col,2005,11.19,
+++,col,2008,11.19,
+++,col,2009,11.16,
+++,col,2010,11.16,
+++,col,2011,11.59,
+++,col,2012,11.9,
+++,col,2013,11.85,
+++,col,2014,11.84,
->,com,2004,8.94->10.77,20.47
+++,cod,2004,14.34,
+++,cod,2012,14.49,
+++,cog,2011,13.17,
+++,cri,1989,14.65,
+++,cri,1991,14.37,
+++,cri,1992,14.38,
+++,cri,1994,13.98,
+++,cri,1995,14.32,
+++,cri,1997,14.23,
+++,cri,1999,13.5,
+++,cri,2002,12.77,
+++,cri,2004,13.15,
+++,cri,2006,12.87,
+++,cri,2007,12.69,
+++,cri,2008,12.75,
+++,cri,2009,12.34,
+++,cri,2010,12.9,
+++,cri,2011,12.87,
+++,cri,2012,12.91,
+++,cri,2013,12.56,
+++,cri,2014,12.87,
+++,civ,1986,15.15,
+++,civ,1992,15.33,
->,civ,2002,12.86->14.26,10.89
+++,civ,2008,14.32,
+++,hrv,2000,16.82,
+++,hrv,2004,17.15,
+++,hrv,2008,16.13,
+++,hrv,2009,16.3,
+++,hrv,2010,17.54,
+++,hrv,2011,17.52,
+++,hrv,2012,17.27,
+++,cyp,2004,16.98,
+++,cyp,2005,16.89,
+++,cyp,2006,16.69,
+++,cyp,2007,16.74,
+++,cyp,2008,16.56,
+++,cyp,2009,16.38,
+++,cyp,2010,16.42,
+++,cyp,2011,16.18,
+++,cyp,2012,15.81,
...,...,...,...,
+++,cze,2004,17.73,
+++,cze,2005,17.77,
+++,cze,2006,17.74,
+++,cze,2007,17.7,
+++,cze,2008,17.57,
+++,cze,2009,17.74,
+++,cze,2010,17.73,
+++,cze,2011,17.91,
+++,cze,2012,17.9,
+++,dnk,2004,18.12,
+++,dnk,2005,18.03,
+++,dnk,2006,17.86,
+++,dnk,2007,17.67,
+++,dnk,2008,18.46,
+++,dnk,2009,18.17,
+++,dnk,2010,17.89,
+++,dnk,2011,17.76,
+++,dnk,2012,17.48,
+++,dji,2012,14.44,
+++,dji,2013,14.55,
+++,dom,1997,13.28,
+++,dom,2001,12.53,
+++,dom,2002,12.82,
+++,dom,2004,12.06,
+++,dom,2006,12.02,
+++,dom,2007,12.99,
+++,dom,2008,12.78,
+++,dom,2009,12.78,
+++,dom,2010,13.19,
+++,dom,2011,13.07,
+++,dom,2012,13.59,
+++,dom,2013,13.18,
+++,ecu,1995,12.47,
+++,ecu,1999,10.73,
+++,ecu,2000,11.22,
->,ecu,2003,9.72->11.58,19.14
---,nor,2000,17.24,
---,pak,1991,16.3,
---,pak,1997,16.65,
---,pak,1999,15.89,
---,pak,2002,16.39,
---,pan,1979,13.13,
---,pan,1996,11.53,
->,pry->ecu,1998->2004,11.73,
+++,ecu,2006,11.93,
+++,ecu,2008,12.64,
+++,ecu,2009,13.03,
+++,ecu,2010,12.97,
+++,ecu,2011,13.81,
+++,ecu,2012,13.86,
+++,ecu,2013,13.31,
+++,ecu,2014,13.86,
+++,slv,1991,12.34,
+++,slv,1999,12.88,
+++,slv,2001,12.88,
+++,slv,2004,13.63,
+++,slv,2006,13.85,
