@@,geo,time,urban_poverty_percent_urban_people_below_national_urban,changes(%)
---,gha,1999,19.4,
---,gha,2006,10.8,
---,gtm,1989,33.7,
---,hnd,1999,28.6,
---,ind,1994,32.4,
---,ind,2000,24.7,
---,jam,1995,18.73,
---,jor,1997,19.7,
---,jor,2002,12.9,
---,kaz,1996,30,
->,ken->bol,1994->2013,29,
+++,bol,2014,30.6,
---,ken,1997,49,
---,kgz,2003,35.7,
---,lao,1993,33.14,
---,lao,1998,26.86,
---,mdg,1997,63.2,
---,mdg,1999,52.1,
---,mli,1998,30.1,
---,mrt,1996,30.1,
---,mex,2000,12.6,
---,mex,2002,11.4,
---,mda,2001,58.02,
---,mda,2002,42.56,
---,mng,2002,30.3,
---,npl,1996,21.55,
---,npl,2004,9.6,
---,nic,1993,31.9,
+++,bwa,1993,24.7,
+++,bwa,2002,19.4,
+++,bwa,2009,11,
->,bfa,2003,19.2->22.2,15.62
+++,bfa,2009,25.2,
+++,bfa,2014,13.7,
+++,bdi,2014,27.6,
+++,cpv,2007,13.2,
+++,khm,2003,28.5,
+++,khm,2006,18.3,
+++,khm,2008,15.1,
+++,khm,2009,8,
+++,khm,2010,8.5,
+++,khm,2011,8.7,
+++,khm,2012,6.4,
->,cmr,2001,22.1->17.9,19.00
---,nga,1993,30.4,
---,pak,1993,17.2,
---,pak,1999,24.2,
---,pan,1997,15.3,
---,pry,1990,19.7,
---,per,2001,42,
---,phl,1994,45.4,
---,phl,1997,11.9,
---,rou,1994,20.4,
---,sen,1992,23.68,
---,sle,2004,56.4,
---,lka,1991,15,
---,lka,1996,15,
---,swz,2001,49,
---,tza,1991,31.23,
---,tza,2001,29.47,
---,tto,1992,24,
---,tun,1990,3.5,
---,tun,1995,3.6,
---,uga,2000,9.6,
->,uga->cmr,2003->2007,12.2,
+++,cmr,2014,8.9,
+++,caf,2008,49.6,
+++,tcd,2002,24.4,
+++,tcd,2011,20.9,
+++,chl,1987,43.6,
->,mng->chl,1995->1990,38.5,
+++,chl,1992,32.7,
+++,chl,1994,27,
+++,chl,1996,22,
+++,chl,1998,20.7,
+++,chl,2000,19.7,
+++,chl,2003,18.5,
+++,chl,2006,25.8,
+++,chl,2009,22.6,
+++,chl,2011,19.9,
+++,chl,2013,12.4,
+++,col,2002,45.5,
+++,col,2003,44.9,
+++,col,2004,43.7,
+++,col,2005,41.1,
+++,col,2008,37.4,
+++,col,2009,36,
+++,col,2010,33.3,
+++,col,2011,30.3,
+++,col,2012,28.4,
+++,col,2013,26.9,
+++,col,2014,24.6,
+++,col,2015,24.1,
+++,com,2004,34.5,
+++,cod,2012,61.6,
+++,cog,2004,43.3,
->,ecu->cri,1995->2010,19,
+++,cri,2011,19.7,
+++,cri,2012,18.2,
+++,cri,2013,18.2,
+++,cri,2014,19.5,
+++,cri,2015,19.4,
+++,civ,2002,24.5,
