@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
+++,brn,1988,11.16,
+++,btn,1988,3.77,
->,che,1988,12.6->11.28,10.48
->,cod,1988,7->5.61,19.86
->,cog,1988,8.2->6.85,16.46
->,com,1988,3.9->4.3,10.26
->,cri,1988,7.9->6.61,16.33
->,cub,1988,9.8->8.75,10.71
->,cze,1988,12.8->11.15,12.89
+++,dma,1988,7.52,
->,eri,1988,3.1->3.5,12.90
->,esp,1988,8->8.98,12.25
->,eth,1988,2.1->3.48,65.71
->,fji,1988,9.6->8.38,12.71
+++,fsm,1988,9.16,
->,gha,1988,7.2->5.85,18.75
->,gnq,1988,7->6.19,11.57
+++,grd,1988,6.64,
->,guy,1988,8.5->6.71,21.06
->,hnd,1988,5.2->4.59,11.73
->,hrv,1988,9.5->8.54,10.11
->,hti,1988,4->4.69,17.25
->,ind,1988,5.7->5.04,11.58
->,irq,1988,7->5.75,17.86
+++,isl,1988,10.46,
->,jam,1988,9.4->8.01,14.79
->,kir,1988,8.2->6.83,16.71
->,kor,1988,12.8->11.35,11.33
->,kwt,1988,6.2->7.22,16.45
->,lbr,1988,4.7->3.8,19.15
+++,lby,1988,5.29,
->,mar,1988,4.5->3.87,14.00
->,mda,1988,11->9.33,15.18
->,mhl,1988,8.8->6.8,22.73
->,mli,1988,1.7->1.51,11.18
+++,mlt,1988,8.41,
->,mmr,1988,4.9->4.36,11.02
->,mne,1988,10.4->9.21,11.44
->,mng,1988,8.6->7.6,11.63
->,moz,1988,3.2->2.8,12.50
->,mrt,1988,2.8->3.73,33.21
->,ner,1988,1.2->1.46,21.67
->,nic,1988,5.4->4.85,10.19
->,pan,1988,8.9->8,10.11
+++,prk,1988,8.8,
->,pse,1988,9.3->7.97,14.30
->,qat,1988,6.4->5.52,13.75
->,sgp,1988,8.4->9.35,11.31
->,slb,1988,5.7->4.96,12.98
->,sle,1988,2.7->2.42,10.37
->,som,1988,2.3->2.06,10.43
+++,ssd,1988,1.69,
->,sur,1988,7.1->6.36,10.42
->,tls,1988,3.1->4.71,51.94
->,ton,1988,10.2->8.89,12.84
->,tun,1988,7.8->6.6,15.38
->,tza,1988,5.7->5.06,11.23
->,ukr,1988,11.6->10.16,12.41
+++,vct,1988,6.64,
->,vnm,1988,7.6->6.44,15.26
->,zmb,1988,7->5.91,15.57
+++,and,1989,10.99,
->,are,1989,8.8->7.53,14.43
->,atg,1989,11.3->9.67,14.42
->,bgd,1989,4.3->3.79,11.86
->,bhr,1989,8->6.51,18.63
->,blz,1989,8->6.43,19.63
+++,brb,1989,6.76,
+++,brn,1989,11.3,
+++,btn,1989,3.86,
->,che,1989,12.7->11.42,10.08
->,cod,1989,7.1->5.72,19.44
->,cog,1989,8.3->6.97,16.02
->,com,1989,4->4.4,10.00
->,cri,1989,8.1->6.72,17.04
->,cub,1989,9.9->8.9,10.10
->,cze,1989,12.8->11.27,11.95
+++,dma,1989,7.65,
->,eri,1989,3.2->3.59,12.19
->,esp,1989,8.2->9.13,11.34
->,eth,1989,2.1->3.56,69.52
->,fji,1989,9.7->8.48,12.58
+++,fsm,1989,9.29,
->,gha,1989,7.3->5.97,18.22
->,gnq,1989,7.1->6.31,11.13
+++,grd,1989,6.76,
->,guy,1989,8.6->6.84,20.47
->,hnd,1989,5.3->4.71,11.13
->,hti,1989,4.1->4.81,17.32
->,ind,1989,5.8->5.16,11.03
->,irq,1989,6.9->5.93,14.06
+++,isl,1989,10.6,
->,jam,1989,9.5->8.16,14.11
->,kir,1989,8.3->6.92,16.63
->,kor,1989,12.9->11.48,11.01
->,kwt,1989,6.3->7.39,17.30
->,lbr,1989,4.8->3.92,18.33
+++,lby,1989,5.4,
->,mar,1989,4.6->3.96,13.91
->,mda,1989,11.1->9.46,14.77
->,mhl,1989,8.9->6.92,22.25
+++,mlt,1989,8.48,
->,mne,1989,10.5->9.35,10.95
->,mng,1989,8.6->7.72,10.23
->,moz,1989,3.3->2.87,13.03
->,mrt,1989,3->3.82,27.33
->,ner,1989,1.2->1.5,25.00
+++,prk,1989,8.94,
->,pse,1989,9.4->8.11,13.72
->,qat,1989,6.6->5.63,14.70
->,sgp,1989,8.5->9.53,12.12
->,slb,1989,5.9->5.09,13.73
+++,ssd,1989,1.74,
->,tls,1989,3.2->4.82,50.62
->,ton,1989,10.3->9,12.62
->,tun,1989,8->6.82,14.75
->,ukr,1989,11.7->10.3,11.97
+++,vct,1989,6.76,
->,vnm,1989,7.7->6.55,14.94
->,zmb,1989,7.1->6.03,15.07
+++,and,1990,11.13,
->,are,1990,9->7.75,13.89
->,atg,1990,11.4->9.81,13.95
->,bhr,1990,8.2->6.66,18.78
->,blz,1990,8.1->6.55,19.14
+++,brb,1990,6.89,
+++,brn,1990,11.43,
+++,btn,1990,3.95,
->,cod,1990,7.2->5.84,18.89
->,cog,1990,8.4->7.1,15.48
->,cri,1990,8.2->6.84,16.59
->,cze,1990,12.9->11.4,11.63
+++,dma,1990,7.79,
->,eri,1990,3.3->3.67,11.21
->,esp,1990,8.4->9.29,10.60
->,eth,1990,2.2->3.65,65.91
->,fji,1990,9.8->8.58,12.45
+++,fsm,1990,9.42,
->,gha,1990,7.3->6.09,16.58
+++,grd,1990,6.89,
->,guy,1990,8.6->6.96,19.07
->,hnd,1990,5.4->4.83,10.56
->,hti,1990,4.3->4.93,14.65
->,ind,1990,5.9->5.28,10.51
->,irq,1990,6.9->6.1,11.59
+++,isl,1990,10.74,
->,jam,1990,9.7->8.32,14.23
->,kir,1990,8.5->7.02,17.41
->,kor,1990,13->11.62,10.62
->,kwt,1990,6.5->7.57,16.46
->,lbr,1990,4.9->4.04,17.55
+++,lby,1990,5.52,
->,mar,1990,4.7->4.05,13.83
->,mda,1990,11.2->9.59,14.37
->,mhl,1990,9->7.05,21.67
->,mli,1990,1.8->1.6,11.11
+++,mlt,1990,8.54,
->,mne,1990,10.6->9.49,10.47
->,moz,1990,3.3->2.94,10.91
->,mrt,1990,3.1->3.91,26.13
->,ner,1990,1.3->1.54,18.46
+++,prk,1990,9.08,
->,pse,1990,9.6->8.24,14.17
->,qat,1990,6.7->5.74,14.33
->,sgp,1990,8.7->9.71,11.61
->,slb,1990,6->5.23,12.83
+++,ssd,1990,1.78,
->,tls,1990,3.4->4.93,45.00
->,ton,1990,10.4->9.11,12.40
->,tun,1990,8.2->7.04,14.15
->,ukr,1990,11.8->10.45,11.44
+++,vct,1990,6.89,
->,vnm,1990,7.7->6.67,13.38
->,zmb,1990,7.2->6.14,14.72
+++,and,1991,11.27,
->,are,1991,9.2->7.98,13.26
->,atg,1991,11.6->9.95,14.22
->,bhr,1991,8.3->6.81,17.95
->,bih,1991,8.8->7.92,10.00
->,blz,1991,8.2->6.67,18.66
+++,brb,1991,7.01,
+++,brn,1991,11.57,
+++,btn,1991,4.04,
->,cod,1991,7.3->5.95,18.49
->,cog,1991,8.5->7.22,15.06
->,cri,1991,8.3->6.96,16.14
->,cze,1991,12.9->11.52,10.70
+++,dma,1991,7.92,
->,esp,1991,8.5->9.44,11.06
->,eth,1991,2.3->3.74,62.61
->,fji,1991,9.9->8.67,12.42
+++,fsm,1991,9.55,
->,gha,1991,7.4->6.21,16.08
+++,grd,1991,7.01,
->,guy,1991,8.7->7.09,18.51
->,hnd,1991,5.6->4.95,11.61
->,hti,1991,4.4->5.06,15.00
->,ind,1991,6.1->5.41,11.31
+++,isl,1991,10.88,
->,jam,1991,9.8->8.47,13.57
->,kir,1991,8.6->7.11,17.33
->,kor,1991,13.2->11.75,10.98
->,kwt,1991,6.6->7.75,17.42
->,lbr,1991,5.1->4.17,18.24
+++,lby,1991,5.63,
->,mar,1991,4.8->4.15,13.54
->,mda,1991,11.3->9.71,14.07
->,mhl,1991,9->7.18,20.22
+++,mlt,1991,8.61,
->,mne,1991,10.7->9.62,10.09
->,moz,1991,3.4->3.02,11.18
->,mrt,1991,3.2->4,25.00
->,ner,1991,1.4->1.59,13.57
+++,prk,1991,9.22,
->,pse,1991,9.7->8.37,13.71
->,qat,1991,6.8->5.86,13.82
->,sgp,1991,8.8->9.9,12.50
->,slb,1991,6.1->5.37,11.97
+++,ssd,1991,1.83,
->,tls,1991,3.5->5.04,44.00
->,ton,1991,10.5->9.22,12.19
->,tun,1991,8.4->7.27,13.45
->,ukr,1991,11.8->10.6,10.17
+++,vct,1991,7.01,
->,vnm,1991,7.8->6.78,13.08
->,zmb,1991,7.2->6.26,13.06
+++,and,1992,11.41,
->,are,1992,9.4->8.22,12.55
->,atg,1992,11.7->10.09,13.76
->,bhr,1992,8.5->6.96,18.12
->,bih,1992,9->8.06,10.44
->,blz,1992,8.3->6.8,18.07
+++,brb,1992,7.14,
+++,brn,1992,11.71,
+++,btn,1992,4.13,
->,cod,1992,7.4->6.07,17.97
->,cog,1992,8.6->7.35,14.53
->,cri,1992,8.5->7.07,16.82
->,cze,1992,13->11.64,10.46
+++,dma,1992,8.05,
->,esp,1992,8.7->9.59,10.23
->,eth,1992,2.4->3.83,59.58
->,fji,1992,10->8.76,12.40
+++,fsm,1992,9.69,
->,gha,1992,7.5->6.33,15.60
+++,grd,1992,7.14,
->,guy,1992,8.8->7.22,17.95
->,hnd,1992,5.7->5.08,10.88
->,hti,1992,4.6->5.18,12.61
->,ind,1992,6.2->5.54,10.65
+++,isl,1992,11.02,
->,jam,1992,9.9->8.63,12.83
->,kir,1992,8.7->7.2,17.24
->,kor,1992,13.3->11.89,10.60
->,kwt,1992,6.7->7.93,18.36
->,lbr,1992,5.2->4.3,17.31
+++,lby,1992,5.75,
->,mar,1992,5->4.24,15.20
->,mda,1992,11.4->9.84,13.68
->,mhl,1992,9.1->7.3,19.78
->,mli,1992,1.9->1.69,11.05
+++,mlt,1992,8.66,
->,moz,1992,3.5->3.09,11.71
->,mrt,1992,3.3->4.09,23.94
->,mus,1992,8->7.19,10.12
->,ner,1992,1.4->1.63,16.43
+++,prk,1992,9.36,
->,pse,1992,9.8->8.5,13.27
->,qat,1992,6.9->5.97,13.48
->,sgp,1992,8.9->10.09,13.37
->,slb,1992,6.3->5.51,12.54
+++,ssd,1992,1.87,
->,tls,1992,3.7->5.15,39.19
->,ton,1992,10.6->9.32,12.08
->,tun,1992,8.5->7.5,11.76
+++,vct,1992,7.14,
->,vnm,1992,7.9->6.89,12.78
->,zmb,1992,7.3->6.38,12.60
+++,and,1993,11.54,
->,are,1993,9.5->8.47,10.84
->,atg,1993,11.8->10.23,13.31
->,bhr,1993,8.6->7.11,17.33
->,bih,1993,9.1->8.19,10.00
->,blz,1993,8.4->6.92,17.62
+++,brb,1993,7.27,
+++,brn,1993,11.84,
+++,btn,1993,4.22,
->,cod,1993,7.5->6.19,17.47
->,cog,1993,8.7->7.47,14.14
->,cri,1993,8.6->7.18,16.51
+++,dma,1993,8.19,
->,esp,1993,8.8->9.74,10.68
->,eth,1993,2.5->3.93,57.20
->,fji,1993,10.1->8.86,12.28
+++,fsm,1993,9.82,
->,gha,1993,7.6->6.45,15.13
+++,grd,1993,7.27,
->,guy,1993,8.9->7.34,17.53
->,hnd,1993,5.8->5.2,10.34
->,hti,1993,4.8->5.32,10.83
->,ind,1993,6.3->5.66,10.16
+++,isl,1993,11.16,
->,jam,1993,10->8.79,12.10
->,kir,1993,8.9->7.28,18.20
->,kor,1993,13.4->12.02,10.30
->,kwt,1993,6.8->8.12,19.41
->,lbr,1993,5.3->4.43,16.42
+++,lby,1993,5.87,
->,mar,1993,5.1->4.34,14.90
->,mda,1993,11.5->9.96,13.39
->,mhl,1993,9.2->7.43,19.24
->,mli,1993,2->1.73,13.50
+++,mlt,1993,8.71,
->,moz,1993,3.6->3.17,11.94
->,mrt,1993,3.4->4.19,23.24
->,ner,1993,1.5->1.67,11.33
+++,prk,1993,9.5,
->,pse,1993,9.9->8.63,12.83
->,qat,1993,7->6.09,13.00
->,sdn,1993,6.2->5.58,10.00
->,sgp,1993,9->10.29,14.33
->,slb,1993,6.4->5.66,11.56
+++,ssd,1993,1.92,
->,tls,1993,3.8->5.26,38.42
->,ton,1993,10.8->9.42,12.78
->,tun,1993,8.7->7.73,11.15
+++,vct,1993,7.27,
->,vnm,1993,7.9->7,11.39
->,zmb,1993,7.4->6.5,12.16
+++,and,1994,11.68,
->,atg,1994,11.9->10.37,12.86
->,bhr,1994,8.8->7.26,17.50
->,bih,1994,9.3->8.32,10.54
->,blz,1994,8.5->7.05,17.06
+++,brb,1994,7.4,
+++,brn,1994,11.98,
+++,btn,1994,4.32,
->,cod,1994,7.5->6.31,15.87
->,cog,1994,8.8->7.6,13.64
->,cri,1994,8.8->7.3,17.05
+++,dma,1994,8.33,
->,esp,1994,9->9.9,10.00
->,eth,1994,2.5->4.02,60.80
->,fji,1994,10.2->8.95,12.25
+++,fsm,1994,9.95,
->,gha,1994,7.7->6.56,14.81
+++,grd,1994,7.4,
->,guy,1994,9->7.47,17.00
->,hti,1994,4.9->5.45,11.22
+++,isl,1994,11.3,
->,jam,1994,10.1->8.95,11.39
->,kir,1994,9->7.37,18.11
->,kwt,1994,6.9->8.32,20.58
->,lbr,1994,5.4->4.57,15.37
+++,lby,1994,5.99,
->,mar,1994,5.2->4.44,14.62
->,mda,1994,11.6->10.09,13.02
->,mhl,1994,9.2->7.56,17.83
->,mli,1994,2->1.78,11.00
+++,mlt,1994,8.76,
->,mrt,1994,3.5->4.28,22.29
+++,prk,1994,9.64,
->,pse,1994,10->8.76,12.40
->,qat,1994,7.2->6.21,13.75
->,sdn,1994,6.3->5.64,10.48
->,sgp,1994,9.2->10.49,14.02
->,slb,1994,6.5->5.82,10.46
+++,ssd,1994,1.97,
->,tls,1994,4->5.38,34.50
->,ton,1994,10.9->9.52,12.66
->,tun,1994,8.9->7.97,10.45
+++,vct,1994,7.4,
->,vnm,1994,8->7.11,11.12
->,zmb,1994,7.4->6.61,10.68
+++,and,1995,11.81,
->,atg,1995,12->10.51,12.42
->,bhr,1995,9->7.41,17.67
->,blz,1995,8.6->7.17,16.63
+++,brb,1995,7.53,
+++,brn,1995,12.11,
+++,btn,1995,4.41,
->,cod,1995,7.6->6.43,15.39
->,cog,1995,8.9->7.72,13.26
->,cri,1995,8.9->7.41,16.74
+++,dma,1995,8.46,
->,esp,1995,9.1->10.05,10.44
->,eth,1995,2.6->4.11,58.08
->,fji,1995,10.3->9.05,12.14
+++,fsm,1995,10.08,
->,gha,1995,7.7->6.68,13.25
+++,grd,1995,7.53,
->,guy,1995,9.1->7.6,16.48
->,hnd,1995,6.1->5.45,10.66
+++,isl,1995,11.43,
->,jam,1995,10.2->9.11,10.69
->,kir,1995,9.1->7.45,18.13
->,kwt,1995,7->8.53,21.86
->,lbr,1995,5.5->4.7,14.55
+++,lby,1995,6.11,
->,mar,1995,5.3->4.54,14.34
->,mda,1995,11.7->10.21,12.74
->,mhl,1995,9.3->7.69,17.31
->,mli,1995,2.1->1.83,12.86
+++,mlt,1995,8.8,
->,moz,1995,3.7->3.32,10.27
->,mrt,1995,3.7->4.38,18.38
+++,prk,1995,9.78,
->,pse,1995,10.2->8.89,12.84
->,qat,1995,7.3->6.33,13.29
->,sdn,1995,6.5->5.7,12.31
->,sgp,1995,9.3->10.7,15.05
->,slb,1995,6.7->5.98,10.75
+++,ssd,1995,2.02,
->,tls,1995,4.1->5.49,33.90
->,ton,1995,11->9.61,12.64
+++,vct,1995,7.53,
->,zmb,1995,7.5->6.73,10.27
+++,and,1996,11.95,
->,atg,1996,12.1->10.64,12.07
->,bhr,1996,9.1->7.52,17.36
->,bih,1996,9.6->8.6,10.42
->,blz,1996,8.7->7.29,16.21
+++,brb,1996,7.66,
+++,brn,1996,12.24,
+++,btn,1996,4.51,
->,cod,1996,7.7->6.54,15.06
->,cog,1996,9->7.84,12.89
->,cri,1996,9->7.53,16.33
+++,dma,1996,8.6,
->,eth,1996,2.7->4.21,55.93
->,fji,1996,10.4->9.17,11.83
+++,fsm,1996,10.21,
->,gha,1996,7.8->6.8,12.82
+++,grd,1996,7.66,
->,guy,1996,9.2->7.73,15.98
->,hnd,1996,6.2->5.57,10.16
+++,isl,1996,11.56,
->,jam,1996,10.3->9.26,10.10
->,kir,1996,9.2->7.53,18.15
->,kwt,1996,7.1->8.72,22.82
->,lbr,1996,5.6->4.82,13.93
+++,lby,1996,6.23,
->,mar,1996,5.5->4.64,15.64
->,mda,1996,11.7->10.34,11.62
->,mhl,1996,9.3->7.82,15.91
->,mli,1996,2.1->1.87,10.95
+++,mlt,1996,8.91,
->,moz,1996,3.8->3.41,10.26
->,mrt,1996,3.8->4.48,17.89
->,mwi,1996,5.8->5.16,11.03
+++,prk,1996,9.92,
->,pse,1996,10.3->9.02,12.43
->,qat,1996,7.4->6.44,12.97
->,sdn,1996,6.6->5.77,12.58
->,sgp,1996,9.4->10.91,16.06
+++,ssd,1996,2.07,
->,tls,1996,4.3->5.62,30.70
->,ton,1996,11.1->9.7,12.61
+++,vct,1996,7.66,
+++,and,1997,12.08,
->,atg,1997,12.2->10.78,11.64
->,bhr,1997,9.3->7.63,17.96
->,blz,1997,8.8->7.42,15.68
+++,brb,1997,7.8,
+++,brn,1997,12.38,
+++,btn,1997,4.61,
->,cod,1997,7.8->6.66,14.62
->,cog,1997,9->7.97,11.44
->,cri,1997,9.2->7.65,16.85
+++,dma,1997,8.74,
->,esp,1997,9.4->10.35,10.11
->,eth,1997,2.8->4.3,53.57
->,fji,1997,10.5->9.29,11.52
+++,fsm,1997,10.34,
->,gha,1997,7.9->6.91,12.53
+++,grd,1997,7.8,
->,guy,1997,9.3->7.86,15.48
+++,isl,1997,11.69,
->,kir,1997,9.4->7.62,18.94
->,kwt,1997,7.2->8.92,23.89
->,lbr,1997,5.7->4.94,13.33
+++,lby,1997,6.35,
->,mar,1997,5.6->4.74,15.36
->,mda,1997,11.8->10.47,11.27
->,mhl,1997,9.4->7.96,15.32
->,mli,1997,2.2->1.92,12.73
+++,mlt,1997,9.01,
->,mrt,1997,3.9->4.57,17.18
->,mus,1997,8.8->7.92,10.00
->,mwi,1997,5.9->5.25,11.02
+++,prk,1997,10.06,
->,pse,1997,10.4->9.14,12.12
->,qat,1997,7.5->6.55,12.67
->,sdn,1997,6.7->5.84,12.84
->,sgp,1997,9.5->11.11,16.95
+++,ssd,1997,2.12,
->,tls,1997,4.4->5.75,30.68
->,ton,1997,11.2->9.79,12.59
+++,vct,1997,7.8,
+++,and,1998,12.22,
->,atg,1998,12.3->10.92,11.22
->,bhr,1998,9.4->7.74,17.66
->,blz,1998,8.9->7.54,15.28
+++,brb,1998,7.93,
+++,brn,1998,12.51,
+++,btn,1998,4.71,
->,cod,1998,7.8->6.78,13.08
->,cog,1998,9.1->8.09,11.10
->,cri,1998,9.3->7.78,16.34
+++,dma,1998,8.87,
->,esp,1998,9.5->10.49,10.42
->,eth,1998,2.9->4.4,51.72
->,fji,1998,10.5->9.41,10.38
+++,fsm,1998,10.47,
->,gha,1998,8->7.03,12.12
+++,grd,1998,7.93,
->,guy,1998,9.4->7.99,15.00
+++,isl,1998,11.82,
->,kir,1998,9.5->7.7,18.95
->,kwt,1998,7.3->9.11,24.79
->,lbr,1998,5.8->5.06,12.76
+++,lby,1998,6.47,
->,mar,1998,5.7->4.85,14.91
->,mda,1998,11.9->10.59,11.01
->,mhl,1998,9.4->8.09,13.94
->,mli,1998,2.2->1.97,10.45
+++,mlt,1998,9.13,
->,mrt,1998,4->4.67,16.75
->,mwi,1998,6->5.34,11.00
+++,prk,1998,10.2,
->,pse,1998,10.5->9.26,11.81
->,qat,1998,7.6->6.67,12.24
->,sdn,1998,6.9->5.91,14.35
->,sgp,1998,9.7->11.3,16.49
+++,ssd,1998,2.18,
->,tls,1998,4.6->5.88,27.83
->,ton,1998,11.3->9.88,12.57
+++,vct,1998,7.93,
+++,and,1999,12.35,
->,atg,1999,12.4->11.06,10.81
->,bfa,1999,2.3->2.06,10.43
->,bhr,1999,9.5->7.85,17.37
->,blz,1999,8.9->7.67,13.82
+++,brb,1999,8.06,
+++,brn,1999,12.64,
+++,btn,1999,4.81,
->,cod,1999,7.9->6.9,12.66
->,cog,1999,9.2->8.21,10.76
->,cri,1999,9.4->7.9,15.96
+++,dma,1999,9.01,
->,eth,1999,2.9->4.49,54.83
->,fji,1999,10.6->9.54,10.00
+++,fsm,1999,10.6,
->,gha,1999,8->7.15,10.62
+++,grd,1999,8.06,
->,guy,1999,9.5->8.12,14.53
+++,isl,1999,11.95,
->,kir,1999,9.6->7.8,18.75
->,kwt,1999,7.4->9.3,25.68
->,lbr,1999,5.9->5.18,12.20
+++,lby,1999,6.59,
->,mar,1999,5.8->4.95,14.66
->,mda,1999,12->10.72,10.67
->,mdv,1999,5.4->5.98,10.74
->,mhl,1999,9.5->8.22,13.47
->,mli,1999,2.3->2.02,12.17
+++,mlt,1999,9.24,
->,mrt,1999,4.1->4.77,16.34
->,mwi,1999,6.1->5.43,10.98
+++,prk,1999,10.34,
->,pse,1999,10.6->9.39,11.42
->,qat,1999,7.8->6.79,12.95
->,sdn,1999,7->5.98,14.57
->,sgp,1999,9.8->11.49,17.24
+++,ssd,1999,2.23,
->,tls,1999,4.7->6.01,27.87
->,ton,1999,11.4->9.98,12.46
+++,vct,1999,8.06,
+++,and,2000,12.48,
->,atg,2000,12.5->11.2,10.40
->,bhr,2000,9.7->7.97,17.84
->,blz,2000,9->7.79,13.44
+++,brb,2000,8.2,
+++,brn,2000,12.77,
+++,btn,2000,4.92,
->,cod,2000,8->7.02,12.25
->,cog,2000,9.3->8.34,10.32
->,cri,2000,9.5->8.03,15.47
+++,dma,2000,9.15,
->,eth,2000,3->4.59,53.00
+++,fsm,2000,10.74,
->,gha,2000,8.1->7.26,10.37
+++,grd,2000,8.2,
->,guy,2000,9.6->8.25,14.06
+++,isl,2000,12.08,
->,kir,2000,9.7->7.9,18.56
->,kwt,2000,7.5->9.49,26.53
->,lbr,2000,6->5.3,11.67
+++,lby,2000,6.72,
->,mar,2000,5.9->5.06,14.24
->,mdv,2000,5.5->6.09,10.73
->,mhl,2000,9.5->8.36,12.00
+++,mlt,2000,9.36,
->,mrt,2000,4.2->4.87,15.95
->,mwi,2000,6.3->5.53,12.22
+++,prk,2000,10.48,
->,pse,2000,10.7->9.51,11.12
->,qat,2000,7.9->6.91,12.53
->,sdn,2000,7.1->6.06,14.65
->,sgp,2000,9.9->11.68,17.98
+++,ssd,2000,2.29,
->,tls,2000,4.9->6.14,25.31
->,ton,2000,11.5->10.07,12.43
+++,vct,2000,8.2,
+++,and,2001,12.61,
->,atg,2001,12.6->11.33,10.08
->,bhr,2001,9.8->8.08,17.55
->,blz,2001,9.1->7.92,12.97
+++,brb,2001,8.33,
+++,brn,2001,12.9,
+++,btn,2001,5.02,
->,cod,2001,8->7.15,10.62
->,cri,2001,9.7->8.15,15.98
+++,dma,2001,9.29,
->,esp,2001,9.9->10.92,10.30
->,eth,2001,3.1->4.69,51.29
+++,fsm,2001,10.87,
+++,grd,2001,8.33,
->,guy,2001,9.7->8.38,13.61
->,irq,2001,7.1->7.84,10.42
+++,isl,2001,12.21,
->,kir,2001,9.8->7.99,18.47
->,kwt,2001,7.6->9.68,27.37
->,lbr,2001,6.1->5.42,11.15
+++,lby,2001,6.85,
->,mar,2001,6.1->5.17,15.25
->,mdv,2001,5.6->6.2,10.71
->,mhl,2001,9.5->8.49,10.63
->,mli,2001,2.4->2.13,11.25
+++,mlt,2001,9.48,
->,mrt,2001,4.4->4.98,13.18
->,mwi,2001,6.4->5.62,12.19
+++,prk,2001,10.62,
->,pse,2001,10.8->9.64,10.74
->,qat,2001,8->7.03,12.12
->,sdn,2001,7.3->6.15,15.75
->,sgp,2001,10->11.86,18.60
+++,ssd,2001,2.34,
->,tls,2001,5->6.28,25.60
->,ton,2001,11.6->10.17,12.33
+++,vct,2001,8.33,
+++,and,2002,12.74,
->,bfa,2002,2.5->2.23,10.80
->,bhr,2002,9.9->8.2,17.17
->,blz,2002,9.2->8.05,12.50
+++,brb,2002,8.47,
+++,brn,2002,13.03,
+++,btn,2002,5.13,
->,cod,2002,8.1->7.27,10.25
->,cri,2002,9.8->8.28,15.51
+++,dma,2002,9.43,
->,eth,2002,3.2->4.79,49.69
+++,fsm,2002,11,
+++,grd,2002,8.47,
->,guy,2002,9.8->8.52,13.06
->,irq,2002,7.2->7.98,10.83
+++,isl,2002,12.34,
->,kir,2002,9.9->8.1,18.18
->,kwt,2002,7.7->9.86,28.05
+++,lby,2002,6.97,
->,mar,2002,6.2->5.28,14.84
->,mdv,2002,5.6->6.31,12.68
->,mhl,2002,9.6->8.63,10.10
+++,mlt,2002,9.6,
->,mrt,2002,4.5->5.08,12.89
->,mwi,2002,6.5->5.72,12.00
+++,prk,2002,10.76,
->,pse,2002,10.9->9.76,10.46
->,qat,2002,8.1->7.15,11.73
->,sdn,2002,7.4->6.23,15.81
->,sgp,2002,10.1->12.03,19.11
+++,ssd,2002,2.4,
->,tls,2002,5.1->6.41,25.69
->,ton,2002,11.7->10.27,12.22
+++,vct,2002,8.47,
+++,and,2003,12.87,
->,bhr,2003,10.1->8.31,17.72
->,blz,2003,9.2->8.18,11.09
+++,brb,2003,8.61,
+++,brn,2003,13.15,
+++,btn,2003,5.23,
->,cri,2003,9.9->8.41,15.05
+++,dma,2003,9.57,
->,eth,2003,3.2->4.89,52.81
+++,fsm,2003,11.13,
+++,grd,2003,8.61,
->,guy,2003,9.9->8.65,12.63
->,irq,2003,7.2->8.11,12.64
+++,isl,2003,12.47,
->,kir,2003,10->8.2,18.00
->,kwt,2003,7.8->10.04,28.72
+++,lby,2003,7.1,
->,mar,2003,6.3->5.39,14.44
->,mdv,2003,5.7->6.42,12.63
+++,mlt,2003,9.72,
->,mrt,2003,4.6->5.19,12.83
->,mwi,2003,6.6->5.81,11.97
+++,prk,2003,10.9,
->,pse,2003,11->9.89,10.09
->,qat,2003,8.2->7.27,11.34
->,sdn,2003,7.5->6.32,15.73
->,sgp,2003,10.2->12.2,19.61
+++,ssd,2003,2.46,
->,tls,2003,5.3->6.54,23.40
->,ton,2003,11.8->10.37,12.12
+++,vct,2003,8.61,
+++,and,2004,13,
->,bfa,2004,2.6->2.34,10.00
->,bhr,2004,10.2->8.43,17.35
->,blz,2004,9.3->8.31,10.65
+++,brb,2004,8.75,
+++,brn,2004,13.28,
+++,btn,2004,5.34,
->,cri,2004,10->8.54,14.60
+++,dma,2004,9.71,
->,esp,2004,10.3->11.35,10.19
->,eth,2004,3.3->4.98,50.91
+++,fsm,2004,11.27,
+++,grd,2004,8.75,
->,guy,2004,10->8.78,12.20
->,irq,2004,7.2->8.24,14.44
+++,isl,2004,12.59,
->,kir,2004,10.1->8.31,17.72
->,kwt,2004,7.9->10.22,29.37
+++,lby,2004,7.23,
->,mar,2004,6.4->5.51,13.91
->,mdv,2004,5.7->6.54,14.74
+++,mlt,2004,9.85,
->,mrt,2004,4.7->5.29,12.55
->,mwi,2004,6.7->5.91,11.79
->,nld,2004,12.1->13.32,10.08
+++,prk,2004,11.03,
->,qat,2004,8.3->7.4,10.84
->,sdn,2004,7.7->6.41,16.75
->,sgp,2004,10.3->12.37,20.10
+++,ssd,2004,2.52,
->,tls,2004,5.4->6.68,23.70
->,ton,2004,11.8->10.48,11.19
+++,vct,2004,8.75,
+++,and,2005,13.12,
->,bfa,2005,2.7->2.4,11.11
->,bhr,2005,10.3->8.55,16.99
->,blz,2005,9.4->8.44,10.21
+++,brb,2005,8.88,
+++,brn,2005,13.4,
+++,btn,2005,5.45,
->,cri,2005,10.1->8.67,14.16
+++,dma,2005,9.85,
->,esp,2005,10.4->11.49,10.48
->,eth,2005,3.4->5.08,49.41
+++,fsm,2005,11.4,
+++,grd,2005,8.88,
->,guy,2005,10->8.92,10.80
