@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,com,1972,2->2.94,47.00
->,cpv,1972,2.3->2.74,19.13
->,cri,1972,5.4->4.85,10.19
->,cub,1972,7.2->6.46,10.28
->,cze,1972,11.2->8.95,20.09
->,deu,1972,9.3->8.12,12.69
->,dji,1972,3->3.57,19.00
+++,dma,1972,5.56,
->,dza,1972,2.1->2.76,31.43
->,eri,1972,1.3->2.35,80.77
->,esp,1972,4.9->6.73,37.35
->,eth,1972,1->2.3,130.00
->,fji,1972,7.6->6.69,11.97
+++,fsm,1972,7.05,
->,gab,1972,4.6->5.12,11.30
->,gbr,1972,10.2->8.92,12.55
->,gha,1972,4.9->4.11,16.12
->,gin,1972,1.4->1.76,25.71
->,gmb,1972,1.8->2.45,36.11
->,gnb,1972,1.3->1.68,29.23
+++,grd,1972,4.81,
->,gtm,1972,2.7->3.12,15.56
->,guy,1972,6.3->4.89,22.38
->,hti,1972,1.9->3.09,62.63
->,irq,1972,5.6->3.49,37.68
+++,isl,1972,8.21,
->,jam,1972,6.9->5.83,15.51
->,kwt,1972,4.2->4.98,18.57
->,lao,1972,2.4->2.85,18.75
+++,lby,1972,3.71,
->,mar,1972,2.3->2.64,14.78
->,mda,1972,8.5->7.26,14.59
->,mdv,1972,4.2->3.52,16.19
->,mhl,1972,6.2->4.96,20.00
+++,mlt,1972,6.88,
->,mne,1972,8.2->7.07,13.78
->,mng,1972,6.9->5.72,17.10
->,mrt,1972,1.5->2.52,68.00
->,nam,1972,3.6->4.04,12.22
->,ner,1972,0.5->0.95,90.00
->,nga,1972,3.4->3.88,14.12
->,npl,1972,1.9->2.82,48.42
->,omn,1972,3.2->4.33,35.31
->,pak,1972,2.3->2.66,15.65
->,per,1972,5.8->6.58,13.45
->,png,1972,2.7->3.52,30.37
+++,prk,1972,6.67,
->,pry,1972,4.9->4.36,11.02
->,sau,1972,5.5->6.49,18.00
->,sdn,1972,3->3.95,31.67
->,sen,1972,1.5->1.83,22.00
->,sgp,1972,6->6.86,14.33
->,som,1972,1.2->1.37,14.17
