alternative_gdp_per_capita_ppp_wb,geo,time
4499,bol,2011
1326,bih,1994
1664,bih,1995
3170,bih,1996
4184,bih,1997
4677,bih,1998
4954,bih,1999
5096,bih,2000
5243,bih,2001
5480,bih,2002
5689,bih,2003
6038,bih,2004
6341,bih,2005
6733,bih,2006
7198,bih,2007
7598,bih,2008
7390,bih,2009
7464,bih,2010
7607,bih,2011
3433,bwa,1980
3611,bwa,1981
3911,bwa,1982
4277,bwa,1983
4489,bwa,1984
4653,bwa,1985
4873,bwa,1986
5281,bwa,1987
6115,bwa,1988
6705,bwa,1989
6948,bwa,1990
7250,bwa,1991
7251,bwa,1992
7188,bwa,1993
7255,bwa,1994
7387,bwa,1995
7614,bwa,1996
8202,bwa,1997
8882,bwa,1998
9156,bwa,1999
9531,bwa,2000
9722,bwa,2001
10460,bwa,2002
10980,bwa,2003
11500,bwa,2004
11540,bwa,2005
11970,bwa,2006
12380,bwa,2007
12560,bwa,2008
11790,bwa,2009
12460,bwa,2010
12940,bwa,2011
7567,bra,1980
7067,bra,1981
6945,bra,1982
6557,bra,1983
6751,bra,1984
7134,bra,1985
7549,bra,1986
7669,bra,1987
7519,bra,1988
7628,bra,1989
7175,bra,1990
7164,bra,1991
7018,bra,1992
7233,bra,1993
7503,bra,1994
7716,bra,1995
7762,bra,1996
7903,bra,1997
7787,bra,1998
7692,bra,1999
7909,bra,2000
7902,bra,2001
8003,bra,2002
7990,bra,2003
8344,bra,2004
8509,bra,2005
8753,bra,2006
9196,bra,2007
9584,bra,2008
9468,bra,2009
10090,bra,2010
10280,bra,2011
80590,brn,1980
62590,brn,1981
63160,brn,1982
61690,brn,1983
60350,brn,1984
57810,brn,1985
54680,brn,1986
54240,brn,1987
53310,brn,1988
51280,brn,1989
50390,brn,1990
50530,brn,1991
51460,brn,1992
50190,brn,1993
50370,brn,1994
51240,brn,1995
51370,brn,1996
49360,brn,1997
47910,brn,1998
48220,brn,1999
48480,brn,2000
48720,brn,2001
49530,brn,2002
49920,brn,2003
49160,brn,2004
48380,brn,2005
49520,brn,2006
48650,brn,2007
46820,brn,2008
45160,brn,2009
45510,brn,2010
5830,bgr,1980
6096,bgr,1981
6220,bgr,1982
6417,bgr,1983
6619,bgr,1984
6797,bgr,1985
7085,bgr,1986
7503,bgr,1987
8315,bgr,1988
8136,bgr,1989
7529,bgr,1990
6961,bgr,1991
6525,bgr,1992
6480,bgr,1993
6620,bgr,1994
6840,bgr,1995
6254,bgr,1996
6189,bgr,1997
6533,bgr,1998
6699,bgr,1999
7118,bgr,2000
7552,bgr,2001
8055,bgr,2002
8547,bgr,2003
9174,bgr,2004
9809,bgr,2005
10510,bgr,2006
11240,bgr,2007
11990,bgr,2008
11390,bgr,2009
11510,bgr,2010
11800,bgr,2011
613.3,bfa,1980
624.1,bfa,1981
667.2,bfa,1982
653,bfa,1983
625.3,bfa,1984
661.4,bfa,1985
695.7,bfa,1986
676.2,bfa,1987
696.7,bfa,1988
692.9,bfa,1989
670.5,bfa,1990
711.7,bfa,1991
694.2,bfa,1992
698.8,bfa,1993
688.8,bfa,1994
708.3,bfa,1995
764.9,bfa,1996
790.9,bfa,1997
825.4,bfa,1998
862,bfa,1999
853.4,bfa,2000
884.7,bfa,2001
900.1,bfa,2002
944.9,bfa,2003
960.5,bfa,2004
