internet_users_total_number,geo,time
5003,slv,1996
15000,slv,1997
25000,slv,1998
49970,slv,1999
69940,slv,2000
89490,slv,2001
113800,slv,2002
150200,slv,2003
192900,slv,2004
254100,slv,2005
334100,slv,2006
372800,slv,2007
617900,slv,2008
746000,slv,2009
984700,slv,2010
0,gnq,1990
195.9,gnq,1997
460.8,gnq,1998
491,gnq,1999
688.7,gnq,2000
887.8,gnq,2001
1781,gnq,2002
2977,gnq,2003
4977,gnq,2004
6988,gnq,2005
8005,gnq,2006
10030,gnq,2007
12050,gnq,2008
14510,gnq,2009
42020,gnq,2010
0,eri,1990
0,eri,1993
0,eri,1994
0,eri,1995
0,eri,1996
300.8,eri,1997
300.8,eri,1998
902.5,eri,1999
5014,eri,2000
6017,eri,2001
9025,eri,2002
30080,eri,2003
50140,eri,2004
80230,eri,2005
100300,eri,2006
120400,eri,2007
200900,eri,2008
283700,eri,2010
0,est,1990
1000,est,1992
4503,est,1993
17010,est,1994
40040,est,1995
50050,est,1996
80070,est,1997
150100,est,1998
200100,est,1999
391700,est,2000
429700,est,2001
563300,est,2002
612700,est,2003
717400,est,2004
827000,est,2005
853600,est,2006
888800,est,2007
947300,est,2008
972700,est,2009
993800,est,2010
0,eth,1990
10.01,eth,1995
1001,eth,1996
3004,eth,1997
6008,eth,1998
8010,eth,1999
10010,eth,2000
25010,eth,2001
49990,eth,2002
74900,eth,2003
112700,eth,2004
163100,eth,2005
236000,eth,2006
287600,eth,2007
357500,eth,2008
438400,eth,2009
622100,eth,2010
0,fro,1990
0,fro,1995
1007,fro,1996
2013,fro,1997
5029,fro,1998
10050,fro,1999
15060,fro,2000
20050,fro,2001
25020,fro,2002
27970,fro,2003
31880,fro,2004
32770,fro,2005
33620,fro,2006
36910,fro,2007
36720,fro,2008
36560,fro,2009
36630,fro,2010
0,fji,1990
50.42,fji,1993
60.55,fji,1994
70.7,fji,1995
505.6,fji,1996
1772,fji,1997
5070,fji,1998
7605,fji,1999
12150,fji,2000
15140,fji,2001
50230,fji,2002
54970,fji,2003
60720,fji,2004
69540,fji,2005
79490,fji,2006
91030,fji,2007
102900,fji,2008
114600,fji,2009
127500,fji,2010
20000,fin,1990
70000,fin,1991
95000,fin,1992
130000,fin,1993
250000,fin,1994
