internet_users_total_number,geo,time
0,sdn,1995
0,sdn,1996
390.9,sdn,1997
1564,sdn,1998
2935,sdn,1999
8815,sdn,2000
49070,sdn,2001
157400,sdn,2002
197300,sdn,2003
296900,sdn,2004
496300,sdn,2005
3186000,sdn,2006
3496000,sdn,2007
4208000,sdn,2008
0,sur,1990
500.1,sur,1995
1000,sur,1996
4493,sur,1997
7585,sur,1998
8711,sur,1999
11700,sur,2000
14510,sur,2001
19980,sur,2002
22980,sur,2003
29970,sur,2004
31970,sur,2005
47960,sur,2006
71980,sur,2007
108500,sur,2008
163000,sur,2009
165700,sur,2010
0,swz,1990
9.942,swz,1995
496.2,swz,1996
891.5,swz,1997
988.6,swz,1998
4934,swz,1999
9853,swz,2000
13780,swz,2001
19670,swz,2002
26530,swz,2003
35370,swz,2004
40850,swz,2005
41310,swz,2006
46450,swz,2007
78800,swz,2008
88790,swz,2009
95120,swz,2010
50000,swe,1990
100000,swe,1991
130000,swe,1992
150000,swe,1993
300000,swe,1994
450000,swe,1995
800100,swe,1996
2101000,swe,1997
2963000,swe,1998
3668000,swe,1999
4048000,swe,2000
4595000,swe,2001
6282000,swe,2002
7071000,swe,2003
7532000,swe,2004
7660000,swe,2005
7978000,swe,2006
7513000,swe,2007
8313000,swe,2008
8473000,swe,2009
8442000,swe,2010
39760,che,1990
79530,che,1991
119400,che,1992
149400,che,1993
189300,che,1994
249300,che,1995
321200,che,1996
1071000,che,1997
1764000,che,1998
2426000,che,1999
3376000,che,2000
3972000,che,2001
4455000,che,2002
4757000,che,2003
4991000,che,2004
5198000,che,2005
5654000,che,2006
5807000,che,2007
5998000,che,2008
6196000,che,2009
6430000,che,2010
0,syr,1990
0,syr,1991
0,syr,1992
0,syr,1993
0,syr,1994
0,syr,1995
0,syr,1996
4844,syr,1997
9681,syr,1998
19360,syr,1999
29050,syr,2000
58210,syr,2001
355100,syr,2002
594300,syr,2003
778100,syr,2004
1044000,syr,2005
1482000,syr,2006
2757000,syr,2008
3469000,syr,2009
4225000,syr,2010
0,tjk,1990
2002,tjk,1999
3000,tjk,2000
3195,tjk,2001
3486,tjk,2002
4092,tjk,2003
4952,tjk,2004
19280,tjk,2005
246100,tjk,2006
475400,tjk,2007
587500,tjk,2008
683100,tjk,2009
794500,tjk,2010
0,tza,1990
499.4,tza,1996
2496,tza,1997
2994,tza,1998
24940,tza,1999
39890,tza,2000
59810,tza,2001
79720,tza,2002
249000,tza,2003
331600,tza,2004
1670000,tza,2005
2316000,tza,2006
2957000,tza,2007
3804000,tza,2008
4352000,tza,2009
4933000,tza,2010
0,tha,1990
30.14,tha,1991
200.1,tha,1992
7968,tha,1993
22830,tha,1994
44630,tha,1995
69580,tha,1996
219700,tha,1997
672800,tha,1998
1514000,tha,1999
2330000,tha,2000
3550000,tha,2001
4868000,tha,2002
6079000,tha,2003
7053000,tha,2004
10020000,tha,2005
11550000,tha,2006
13580000,tha,2007
12420000,tha,2008
13810000,tha,2009
14650000,tha,2010
0,tls,1990
0,tls,2002
1001,tls,2005
1211,tls,2006
1495,tls,2007
1769,tls,2008
2038,tls,2009
2361,tls,2010
0,tgo,1990
0,tgo,1991
0,tgo,1992
0,tgo,1993
0,tgo,1994
0,tgo,1995
460,tgo,1996
9183,tgo,1997
13750,tgo,1998
27460,tgo,1999
91350,tgo,2000
136700,tgo,2001
181900,tgo,2002
190500,tgo,2003
200000,tgo,2004
216300,tgo,2005
237800,tgo,2006
254400,tgo,2007
277300,tgo,2008
301000,tgo,2009
324300,tgo,2010
0,ton,1990
118.2,ton,1995
157.6,ton,1996
493.2,ton,1997
741.9,ton,1998
991.8,ton,1999
2384,ton,2000
2782,ton,2001
2880,ton,2002
2976,ton,2003
3964,ton,2004
4953,ton,2005
5947,ton,2006
7342,ton,2007
8347,ton,2008
10350,ton,2009
12490,ton,2010
0,tto,1990
1995,tto,1995
4988,tto,1996
14960,tto,1997
34920,tto,1998
74820,tto,1999
99770,tto,2000
199500,tto,2001
286300,tto,2002
339200,tto,2003
354200,tto,2004
381200,tto,2005
396200,tto,2006
428200,tto,2007
463200,tto,2008
592000,tto,2009
650600,tto,2010
0,tun,1990
650,tun,1994
1000,tun,1995
2500,tun,1996
4000,tun,1997
10000,tun,1998
150000,tun,1999
260100,tun,2000
410300,tun,2001
506100,tun,2002
631100,tun,2003
837000,tun,2004
957000,tun,2005
1301000,tun,2006
1732000,tun,2007
2821000,tun,2008
3531000,tun,2009
3857000,tun,2010
0,tur,1990
4818,tur,1993
28880,tur,1994
48090,tur,1995
115300,tur,1996
287900,tur,1997
431500,tur,1998
1437000,tur,1999
2393000,tur,2000
3350000,tur,2001
7448000,tur,2002
8180000,tur,2003
9803000,tur,2004
10530000,tur,2005
12600000,tur,2006
20040000,tur,2007
24380000,tur,2008
26150000,tur,2009
28970000,tur,2010
0,tkm,1990
2003,tkm,1999
6000,tkm,2000
7975,tkm,2001
13900,tkm,2002
19760,tkm,2003
35420,tkm,2004
47350,tkm,2005
63360,tkm,2006
68330,tkm,2007
86070,tkm,2008
97100,tkm,2009
110900,tkm,2010
0,tuv,1990
493.7,tuv,2000
976.2,tuv,2007
1468,tuv,2008
1961,tuv,2009
2457,tuv,2010
0,uga,1990
596.5,uga,1995
993.4,uga,1996
2283,uga,1997
14880,uga,1998
24780,uga,1999
39640,uga,2000
59450,uga,2001
99070,uga,2002
123800,uga,2003
198100,uga,2004
495300,uga,2005
742900,uga,2006
1114000,uga,2007
2476000,uga,2008
3166000,uga,2009
4178000,uga,2010
0,ukr,1990
400.5,ukr,1993
7009,ukr,1994
22030,ukr,1995
50050,ukr,1996
100100,ukr,1997
150100,ukr,1998
200100,ukr,1999
350200,ukr,2000
600200,ukr,2001
900100,ukr,2002
1500000,ukr,2003
1650000,ukr,2004
1760000,ukr,2005
2099000,ukr,2006
3031000,ukr,2007
10320000,ukr,2008
15150000,ukr,2009
20450000,ukr,2010
0,are,1990
2418,are,1995
9287,are,1996
86070,are,1997
190400,are,1998
432900,are,1999
716700,are,2000
827400,are,2001
921600,are,2002
1003000,are,2003
1102000,are,2004
1628000,are,2005
2425000,are,2006
3297000,are,2007
4469000,are,2008
5204000,are,2009
5859000,are,2010
49980,gbr,1990
99960,gbr,1991
149900,gbr,1992
299800,gbr,1993
599600,gbr,1994
1099000,gbr,1995
2398000,gbr,1996
4307000,gbr,1997
7995000,gbr,1998
12490000,gbr,1999
15790000,gbr,2000
19790000,gbr,2001
33520000,gbr,2002
38640000,gbr,2003
39300000,gbr,2004
42140000,gbr,2005
41660000,gbr,2006
45730000,gbr,2007
48030000,gbr,2008
51520000,gbr,2009
52730000,gbr,2010
1988000,usa,1990
2976000,usa,1991
4453000,usa,1992
5925000,usa,1993
12810000,usa,1994
24600000,usa,1995
44230000,usa,1996
58940000,usa,1997
83050000,usa,1998
100100000,usa,1999
121700000,usa,2000
140100000,usa,2001
169600000,usa,2002
179700000,usa,2003
190400000,usa,2004
201700000,usa,2005
206500000,usa,2006
226700000,usa,2007
225700000,usa,2008
218500000,usa,2009
229700000,usa,2010
0,ury,1990
1999,ury,1994
9997,ury,1995
59980,ury,1996
110000,ury,1997
229900,ury,1998
329800,ury,1999
349800,ury,2000
369800,ury,2001
379700,ury,2002
529600,ury,2003
566700,ury,2004
667400,ury,2005
978300,ury,2006
1134000,ury,2007
1315000,ury,2008
1403000,ury,2009
1607000,ury,2010
0,uzb,1990
350,uzb,1995
1000,uzb,1996
2503,uzb,1997
5008,uzb,1998
7509,uzb,1999
120000,uzb,2000
149600,uzb,2001
273500,uzb,2002
487500,uzb,2003
666800,uzb,2004
867600,uzb,2005
1675000,uzb,2006
1985000,uzb,2007
2435000,uzb,2008
4628000,uzb,2009
5489000,uzb,2010
0,vut,1990
97.65,vut,1996
244,vut,1997
487.9,vut,1998
975.6,vut,1999
3902,vut,2000
5365,vut,2001
6829,vut,2002
7805,vut,2003
9757,vut,2004
10730,vut,2005
12680,vut,2006
15120,vut,2007
16580,vut,2008
17530,vut,2009
19170,vut,2010
0,ven,1990
2493,ven,1992
8776,ven,1993
11970,ven,1994
26930,ven,1995
55860,ven,1996
89770,ven,1997
324200,ven,1998
678300,ven,1999
818000,ven,2000
1150000,ven,2001
1241000,ven,2002
1930000,ven,2003
2202000,ven,2004
3347000,ven,2005
4130000,ven,2006
5748000,ven,2007
7261000,ven,2008
8898000,ven,2009
10340000,ven,2010
0,vnm,1990
101.3,vnm,1996
3031,vnm,1997
10070,vnm,1998
100400,vnm,1999
200200,vnm,2000
1008000,vnm,2001
1493000,vnm,2002
3076000,vnm,2003
6287000,vnm,2004
10590000,vnm,2005
14510000,vnm,2006
17640000,vnm,2007
20560000,vnm,2008
23070000,vnm,2009
24210000,vnm,2010
0,vir,1990
999.5,vir,1994
2999,vir,1995
4998,vir,1996
7497,vir,1997
9997,vir,1998
12000,vir,1999
14990,vir,2000
19980,vir,2001
29950,vir,2002
29930,vir,2003
29910,vir,2004
29900,vir,2005
29900,vir,2006
29910,vir,2007
29910,vir,2008
29920,vir,2009
0,pse,1990
35550,pse,2000
60340,pse,2001
104100,pse,2002
141200,pse,2003
153300,pse,2004
569100,pse,2005
669700,pse,2006
789500,pse,2007
932100,pse,2008
1267000,pse,2009
1512000,pse,2010
0,yem,1990
97.57,yem,1996
2438,yem,1997
3899,yem,1998
9745,yem,1999
14620,yem,2000
16590,yem,2001
97700,yem,2002
117400,yem,2003
176500,yem,2004
216500,yem,2005
265600,yem,2006
1100000,yem,2007
1559000,yem,2008
2323000,yem,2009
2970000,yem,2010
0,zmb,1990
589,zmb,1994
783.5,zmb,1995
830.9,zmb,1996
878.7,zmb,1997
2927,zmb,1998
14620,zmb,1999
19490,zmb,2000
24360,zmb,2001
51090,zmb,2002
107200,zmb,2003
225400,zmb,2004
326900,zmb,2005
488800,zmb,2006
587100,zmb,2007
687100,zmb,2008
802900,zmb,2009
1309000,zmb,2010
0,zwe,1990
199.5,zwe,1994
897.8,zwe,1995
1997,zwe,1996
3998,zwe,1997
10010,zwe,1998
20060,zwe,1999
50220,zwe,2000
100600,zwe,2001
503600,zwe,2002
806600,zwe,2003
826900,zwe,2004
1008000,zwe,2005
1227000,zwe,2006
1354000,zwe,2007
1419000,zwe,2008
1417000,zwe,2009
1446000,zwe,2010
