geo,electricity_generation_per_person,time
zaf,5744,2006
zaf,6051,2007
zaf,6251,2008
esp,3856,1990
esp,4039,1991
esp,4074,1992
esp,4060,1993
esp,4144,1994
esp,4249,1995
esp,4434,1996
esp,4614,1997
esp,4913,1998
esp,5229,1999
esp,5617,2000
esp,5923,2001
esp,6131,2002
esp,6575,2003
esp,6951,2004
esp,7290,2005
esp,7502,2006
esp,7575,2007
esp,7658,2008
swe,17030,1990
swe,17000,1991
swe,16800,1992
swe,16650,1993
swe,16180,1994
swe,16630,1995
swe,15710,1996
swe,16790,1997
swe,17320,1998
swe,17410,1999
swe,16330,2000
swe,18090,2001
swe,16390,2002
swe,15070,2003
swe,16430,2004
swe,17600,2005
swe,15890,2006
swe,16450,2007
swe,16500,2008
che,8163,1990
che,8353,1991
che,8452,1992
che,8680,1993
che,9340,1994
che,8814,1995
che,7922,1996
che,8718,1997
che,8723,1998
che,9615,1999
che,9268,2000
che,9836,2001
che,9054,2002
che,9042,2003
che,8797,2004
che,7981,2005
che,8523,2006
che,9005,2007
che,9116,2008
twn,4448,1990
twn,4840,1991
twn,5101,1992
twn,5517,1993
twn,5910,1994
twn,6255,1995
twn,6619,1996
twn,6944,1997
twn,7464,1998
twn,7706,1999
twn,8345,2000
twn,8452,2001
twn,8854,2002
twn,9249,2003
twn,9599,2004
twn,9931,2005
twn,10210,2006
twn,10470,2007
twn,10200,2008
tha,836.6,1990
tha,938.4,1991
tha,1054,1992
tha,1155,1993
tha,1281,1994
tha,1421,1995
tha,1531,1996
tha,1620,1997
tha,1549,1998
tha,1535,1999
tha,1551,2000
tha,1643,2001
tha,1736,2002
tha,1849,2003
tha,1973,2004
tha,2060,2005
tha,2147,2006
tha,2222,2007
tha,2253,2008
tur,1026,1990
tur,1054,1991
tur,1157,1992
tur,1246,1993
tur,1301,1994
tur,1410,1995
tur,1527,1996
tur,1618,1997
tur,1734,1998
tur,1799,1999
tur,1902,2000
tur,1846,2001
tur,1968,2002
tur,2074,2003
tur,2172,2004
tur,2325,2005
tur,2503,2006
tur,2680,2007
tur,2769,2008
tkm,3984,1990
tkm,3962,1991
tkm,3404,1992
tkm,3212,1993
tkm,2612,1994
tkm,2389,1995
tkm,2414,1996
tkm,2203,1997
tkm,2092,1998
tkm,2030,1999
tkm,2179,2000
tkm,2423,2001
tkm,2389,2002
tkm,2262,2003
tkm,2349,2004
tkm,2589,2005
tkm,2707,2006
tkm,2844,2007
tkm,2931,2008
ukr,5782,1990
ukr,5393,1991
ukr,4870,1992
ukr,4431,1993
ukr,3930,1994
ukr,3786,1995
ukr,3576,1996
ukr,3494,1997
ukr,3442,1998
ukr,3455,1999
ukr,3448,2000
ukr,3533,2001
ukr,3615,2002
ukr,3766,2003
ukr,3851,2004
ukr,3936,2005
ukr,4113,2006
ukr,4202,2007
ukr,4152,2008
are,8756,1990
are,8669,1991
are,9122,1992
are,10380,1993
are,11110,1994
are,11480,1995
are,11990,1996
are,12630,1997
are,14560,1998
are,15930,1999
are,16860,2000
are,17930,2001
are,19050,2002
are,19940,2003
are,20770,2004
are,23680,2005
are,25650,2006
are,27210,2007
are,28790,2008
gbr,5561,1990
gbr,5599,1991
gbr,5548,1992
gbr,5568,1993
gbr,5610,1994
gbr,5775,1995
gbr,5986,1996
gbr,5963,1997
gbr,6144,1998
gbr,6209,1999
gbr,6335,2000
gbr,6443,2001
gbr,6464,2002
gbr,6626,2003
gbr,6536,2004
gbr,6591,2005
gbr,6564,2006
gbr,6518,2007
gbr,6400,2008
usa,12730,1990
usa,12720,1991
usa,12590,1992
usa,12890,1993
usa,12930,1994
usa,13190,1995
usa,13390,1996
usa,13410,1997
usa,13750,1998
usa,13880,1999
usa,14130,2000
usa,13770,2001
usa,14080,2002
usa,14040,2003
usa,14220,2004
usa,14400,2005
usa,14300,2006
usa,14490,2007
usa,14210,2008
uzb,2731,1990
uzb,2563,1991
uzb,2362,1992
uzb,2209,1993
uzb,2092,1994
uzb,2075,1995
uzb,1956,1996
uzb,1949,1997
uzb,1914,1998
uzb,1859,1999
uzb,1890,2000
uzb,1852,2001
uzb,1929,2002
uzb,1874,2003
uzb,1879,2004
uzb,1777,2005
uzb,1805,2006
uzb,1764,2007
uzb,1772,2008
ven,3070,1990
ven,3199,1991
ven,3328,1992
ven,3351,1993
ven,3370,1994
ven,3407,1995
ven,3441,1996
ven,3489,1997
ven,3553,1998
ven,3479,1999
ven,3619,2000
ven,3768,2001
ven,3681,2002
ven,3653,2003
ven,3872,2004
ven,4113,2005
ven,4333,2006
ven,4391,2007
ven,4512,2008
