new_births_total_number_estimated,geo,time
135100,ago,1896
136200,ago,1897
137300,ago,1898
138400,ago,1899
139500,ago,1900
140600,ago,1901
141700,ago,1902
142900,ago,1903
144000,ago,1904
145300,ago,1905
146500,ago,1906
147600,ago,1907
148800,ago,1908
150000,ago,1909
151200,ago,1910
152400,ago,1911
153600,ago,1912
154800,ago,1913
156100,ago,1914
157300,ago,1915
158500,ago,1916
159800,ago,1917
160900,ago,1918
162300,ago,1919
163500,ago,1920
164700,ago,1921
165900,ago,1922
167100,ago,1923
168300,ago,1924
169500,ago,1925
170800,ago,1926
171800,ago,1927
173000,ago,1928
174100,ago,1929
177600,ago,1930
181200,ago,1931
184700,ago,1932
188300,ago,1933
191900,ago,1934
195400,ago,1935
199000,ago,1936
202500,ago,1937
206100,ago,1938
209700,ago,1939
213200,ago,1940
216800,ago,1941
220400,ago,1942
223900,ago,1943
227500,ago,1944
231000,ago,1945
234600,ago,1946
238200,ago,1947
241700,ago,1948
245300,ago,1949
248800,ago,1950
251000,ago,1951
255100,ago,1952
259300,ago,1953
263400,ago,1954
267500,ago,1955
271500,ago,1956
275400,ago,1957
279300,ago,1958
283200,ago,1959
287000,ago,1960
290800,ago,1961
294700,ago,1962
298600,ago,1963
302700,ago,1964
307100,ago,1965
311700,ago,1966
316800,ago,1967
322300,ago,1968
328400,ago,1969
335100,ago,1970
342500,ago,1971
350700,ago,1972
359700,ago,1973
369400,ago,1974
379800,ago,1975
391000,ago,1976
403000,ago,1977
415500,ago,1978
428500,ago,1979
442000,ago,1980
455900,ago,1981
470100,ago,1982
484500,ago,1983
499100,ago,1984
513900,ago,1985
528900,ago,1986
544100,ago,1987
559500,ago,1988
575200,ago,1989
591300,ago,1990
607700,ago,1991
624500,ago,1992
641700,ago,1993
659400,ago,1994
677600,ago,1995
696100,ago,1996
715000,ago,1997
734300,ago,1998
754100,ago,1999
774500,ago,2000
795800,ago,2001
818200,ago,2002
841400,ago,2003
865600,ago,2004
890200,ago,2005
915000,ago,2006
939700,ago,2007
963900,ago,2008
987700,ago,2009
1011000,ago,2010
1034000,ago,2011
1057000,ago,2012
1080000,ago,2013
1104000,ago,2014
1128000,ago,2015
1312,atg,1800
1312,atg,1801
1309,atg,1802
1309,atg,1803
1309,atg,1804
1307,atg,1805
1307,atg,1806
1304,atg,1807
1304,atg,1808
1304,atg,1809
1302,atg,1810
1302,atg,1811
1302,atg,1812
1300,atg,1813
1300,atg,1814
1297,atg,1815
1297,atg,1816
1297,atg,1817
1295,atg,1818
1295,atg,1819
1295,atg,1820
1293,atg,1821
1293,atg,1822
1293,atg,1823
1290,atg,1824
1290,atg,1825
1288,atg,1826
1288,atg,1827
1288,atg,1828
1286,atg,1829
1286,atg,1830
1286,atg,1831
1283,atg,1832
1283,atg,1833
1281,atg,1834
1281,atg,1835
1281,atg,1836
1279,atg,1837
1279,atg,1838
1279,atg,1839
1276,atg,1840
1276,atg,1841
1274,atg,1842
1274,atg,1843
1274,atg,1844
1272,atg,1845
1272,atg,1846
1272,atg,1847
1269,atg,1848
1269,atg,1849
1269,atg,1850
1267,atg,1851
1266,atg,1852
1263,atg,1853
1262,atg,1854
1261,atg,1855
1257,atg,1856
1254,atg,1857
1252,atg,1858
1247,atg,1859
1244,atg,1860
1238,atg,1861
1235,atg,1862
1232,atg,1863
1226,atg,1864
1223,atg,1865
1219,atg,1866
1214,atg,1867
1210,atg,1868
1207,atg,1869
1201,atg,1870
1198,atg,1871
1193,atg,1872
1188,atg,1873
1186,atg,1874
1183,atg,1875
1182,atg,1876
1180,atg,1877
1179,atg,1878
1181,atg,1879
1181,atg,1880
1183,atg,1881
1186,atg,1882
1188,atg,1883
1191,atg,1884
1196,atg,1885
1198,atg,1886
1204,atg,1887
1206,atg,1888
1209,atg,1889
1210,atg,1890
1208,atg,1891
1208,atg,1892
1206,atg,1893
1200,atg,1894
1196,atg,1895
1191,atg,1896
1181,atg,1897
1174,atg,1898
1164,atg,1899
1156,atg,1900
1148,atg,1901
1138,atg,1902
1129,atg,1903
1120,atg,1904
1108,atg,1905
1098,atg,1906
1086,atg,1907
1076,atg,1908
1066,atg,1909
1055,atg,1910
1046,atg,1911
1038,atg,1912
1029,atg,1913
1023,atg,1914
1016,atg,1915
1007,atg,1916
1001,atg,1917
992,atg,1918
986,atg,1919
980,atg,1920
978,atg,1921
985,atg,1922
998,atg,1923
1010,atg,1924
1023,atg,1925
1035,atg,1926
1049,atg,1927
1063,atg,1928
1076,atg,1929
1106,atg,1930
1135,atg,1931
1165,atg,1932
1194,atg,1933
1224,atg,1934
1254,atg,1935
1283,atg,1936
1313,atg,1937
1343,atg,1938
1372,atg,1939
1402,atg,1940
1431,atg,1941
1461,atg,1942
1491,atg,1943
1520,atg,1944
1550,atg,1945
1580,atg,1946
1609,atg,1947
1639,atg,1948
1668,atg,1949
1698,atg,1950
1712,atg,1951
1738,atg,1952
1760,atg,1953
1777,atg,1954
1791,atg,1955
1801,atg,1956
1807,atg,1957
1812,atg,1958
1816,atg,1959
1822,atg,1960
1830,atg,1961
1844,atg,1962
1862,atg,1963
1884,atg,1964
1907,atg,1965
1928,atg,1966
1944,atg,1967
1951,atg,1968
1946,atg,1969
1926,atg,1970
1885,atg,1971
1826,atg,1972
1751,atg,1973
1665,atg,1974
1575,atg,1975
1491,atg,1976
1418,atg,1977
1361,atg,1978
1322,atg,1979
1300,atg,1980
1288,atg,1981
1281,atg,1982
1272,atg,1983
1259,atg,1984
1243,atg,1985
1224,atg,1986
1207,atg,1987
1195,atg,1988
1189,atg,1989
1193,atg,1990
1208,atg,1991
1234,atg,1992
1270,atg,1993
1314,atg,1994
1363,atg,1995
1412,atg,1996
1459,atg,1997
1499,atg,1998
1531,atg,1999
1553,atg,2000
1563,atg,2001
1565,atg,2002
1561,atg,2003
1551,atg,2004
1538,atg,2005
1523,atg,2006
1509,atg,2007
1497,atg,2008
1487,atg,2009
1481,atg,2010
1478,atg,2011
1479,atg,2012
1481,atg,2013
1484,atg,2014
1488,atg,2015
25030,arg,1800
25030,arg,1801
25030,arg,1802
25030,arg,1803
25030,arg,1804
25030,arg,1805
25030,arg,1806
25030,arg,1807
25030,arg,1808
25030,arg,1809
25030,arg,1810
25060,arg,1811
25120,arg,1812
25200,arg,1813
25320,arg,1814
25480,arg,1815
25660,arg,1816
25880,arg,1817
26140,arg,1818
26420,arg,1819
26750,arg,1820
27110,arg,1821
27510,arg,1822
27950,arg,1823
28420,arg,1824
28940,arg,1825
29500,arg,1826
30110,arg,1827
30750,arg,1828
31450,arg,1829
32180,arg,1830
32970,arg,1831
33770,arg,1832
34600,arg,1833
35440,arg,1834
36300,arg,1835
37190,arg,1836
38100,arg,1837
39020,arg,1838
39980,arg,1839
40950,arg,1840
41950,arg,1841
42970,arg,1842
44020,arg,1843
45100,arg,1844
46210,arg,1845
47340,arg,1846
48500,arg,1847
49700,arg,1848
50920,arg,1849
52170,arg,1850
53460,arg,1851
54780,arg,1852
56130,arg,1853
57520,arg,1854
58940,arg,1855
60400,arg,1856
61890,arg,1857
63430,arg,1858
65000,arg,1859
66610,arg,1860
68300,arg,1861
70050,arg,1862
