geo,electricity_use_per_person,time
bol,237.4,1978
bol,247.2,1979
bol,263.4,1980
bol,275.8,1981
bol,273.8,1982
bol,261.7,1983
bol,259.1,1984
bol,250.6,1985
bol,239.8,1986
bol,237.7,1987
bol,249.5,1988
bol,261.2,1989
bol,268.9,1990
bol,282.7,1991
bol,291.6,1992
bol,313.5,1993
bol,332.9,1994
bol,351,1995
bol,368.5,1996
bol,386.3,1997
bol,402.4,1998
bol,414.9,1999
bol,412.1,2000
bol,410.4,2001
bol,423,2002
bol,429.6,2003
bol,439.1,2004
bol,466.8,2005
bol,496.7,2006
bol,528.5,2007
bol,527.5,2008
bol,546.2,2009
bol,592.5,2010
bol,623.4,2011
bih,2897,1990
bih,2104,1991
bih,1136,1992
bih,743.6,1993
bih,961.6,1994
bih,1043,1995
bih,1216,1996
bih,1463,1997
bih,1820,1998
bih,1830,1999
bih,1986,2000
bih,2002,2001
bih,2018,2002
bih,2157,2003
bih,2249,2004
bih,2319,2005
bih,2317,2006
bih,2317,2007
bih,2904,2008
bih,2803,2009
bih,3040,2010
bih,3189,2011
bwa,527.9,1981
bwa,563.8,1982
bwa,562,1983
bwa,576.7,1984
bwa,599.3,1985
bwa,684,1986
bwa,774.2,1987
bwa,662.2,1988
bwa,675.9,1989
bwa,715.4,1990
bwa,794,1991
bwa,861.4,1992
bwa,857,1993
bwa,893.9,1994
bwa,868.4,1995
bwa,893.3,1996
bwa,956.3,1997
bwa,1021,1998
bwa,1002,1999
bwa,906.9,2000
bwa,1134,2001
bwa,1245,2002
bwa,1314,2003
bwa,1362,2004
bwa,1421,2005
bwa,1444,2006
bwa,1500,2007
bwa,1529,2008
bwa,1531,2009
bwa,1617,2010
bwa,1603,2011
bra,455.5,1971
bra,494.3,1972
bra,549.4,1973
bra,599.3,1974
bra,645.5,1975
bra,715.5,1976
bra,783,1977
bra,852.6,1978
bra,933.4,1979
bra,1008,1980
bra,1013,1981
bra,1047,1982
bra,1103,1983
bra,1200,1984
bra,1274,1985
bra,1346,1986
bra,1360,1987
bra,1412,1988
bra,1443,1989
bra,1454,1990
bra,1481,1991
bra,1491,1992
bra,1536,1993
bra,1567,1994
bra,1636,1995
bra,1689,1996
bra,1765,1997
bra,1812,1998
bra,1836,1999
bra,1900,2000
bra,1750,2001
bra,1808,2002
bra,1883,2003
bra,1956,2004
bra,2016,2005
bra,2073,2006
bra,2169,2007
bra,2233,2008
bra,2202,2009
bra,2381,2010
bra,2438,2011
brn,1754,1971
brn,1678,1972
brn,1587,1973
brn,1548,1974
brn,1486,1975
brn,1429,1976
brn,1375,1977
brn,1325,1978
brn,1280,1979
brn,1699,1980
brn,2275,1981
brn,2648,1982
brn,3096,1983
brn,3311,1984
brn,3286,1985
brn,3239,1986
brn,4221,1987
brn,4313,1988
brn,4328,1989
brn,4355,1990
brn,4506,1991
brn,4854,1992
brn,5307,1993
brn,5620,1994
brn,6430,1995
brn,6876,1996
brn,7673,1997
brn,7802,1998
brn,7414,1999
brn,7577,2000
brn,7201,2001
brn,7381,2002
brn,8542,2003
brn,8564,2004
brn,8401,2005
brn,8332,2006
brn,8468,2007
brn,8399,2008
brn,8605,2009
brn,8548,2010
brn,8507,2011
bgr,2293,1971
bgr,2486,1972
bgr,2683,1973
bgr,2842,1974
bgr,3036,1975
bgr,3248,1976
bgr,3438,1977
bgr,3648,1978
bgr,3772,1979
bgr,3974,1980
bgr,4125,1981
bgr,4398,1982
bgr,4582,1983
bgr,4772,1984
bgr,4678,1985
bgr,4646,1986
bgr,4839,1987
bgr,4941,1988
bgr,4963,1989
bgr,4759,1990
bgr,4361,1991
bgr,3736,1992
bgr,3808,1993
bgr,3825,1994
bgr,4211,1995
bgr,4350,1996
bgr,3970,1997
bgr,3932,1998
bgr,3613,1999
bgr,3674,2000
bgr,3854,2001
bgr,3838,2002
bgr,3973,2003
bgr,3939,2004
bgr,4122,2005
bgr,4311,2006
bgr,4456,2007
bgr,4594,2008
bgr,4401,2009
bgr,4476,2010
bgr,4864,2011
khm,13.37,1995
khm,19.84,1996
khm,24.04,1997
khm,26.44,1998
khm,30.02,1999
khm,32.56,2000
khm,36.32,2001
khm,50.04,2002
khm,51.18,2003
khm,55.36,2004
khm,66.34,2005
khm,80.27,2006
khm,100.1,2007
khm,114.1,2008
khm,127.5,2009
khm,143.8,2010
khm,164.4,2011
cmr,146.6,1971
cmr,149.7,1972
cmr,147.2,1973
cmr,163.2,1974
cmr,168.3,1975
cmr,159.8,1976
cmr,149.4,1977
cmr,150.1,1978
cmr,149.5,1979
cmr,150.7,1980
cmr,191.6,1981
cmr,213.8,1982
cmr,206.7,1983
cmr,198.3,1984
cmr,217,1985
cmr,202.5,1986
cmr,202,1987
cmr,204.3,1988
cmr,205.1,1989
cmr,194.3,1990
cmr,187.8,1991
cmr,184.4,1992
cmr,186.6,1993
cmr,163.4,1994
cmr,156.3,1995
cmr,161.6,1996
cmr,171,1997
cmr,168.1,1998
cmr,172.8,1999
cmr,170.7,2000
cmr,160.9,2001
cmr,151.1,2002
cmr,163,2003
cmr,187.8,2004
cmr,182.3,2005
cmr,240.5,2006
cmr,248.9,2007
cmr,262.5,2008
cmr,260.8,2009
cmr,257.9,2010
cmr,255.5,2011
can,5631,1960
can,5605,1961
can,5791,1962
can,5966,1963
can,6469,1964
can,6910,1965
can,7359,1966
can,7630,1967
can,8030,1968
can,8533,1969
can,8962,1970
can,9301,1971
can,9904,1972
can,10300,1973
can,10820,1974
can,10440,1975
can,11040,1976
can,11760,1977
can,12230,1978
can,12380,1979
can,12760,1980
can,13200,1981
can,12940,1982
can,13410,1983
can,14290,1984
can,14800,1985
can,15300,1986
can,15740,1987
can,16330,1988
can,16400,1989
can,16110,1990
can,16100,1991
can,16080,1992
can,16240,1993
can,16330,1994
can,16500,1995
can,16570,1996
can,16610,1997
can,16390,1998
can,16630,1999
can,16990,2000
can,16810,2001
can,16960,2002
can,17190,2003
can,17240,2004
can,17320,2005
can,16760,2006
can,16850,2007
can,16450,2008
can,15120,2009
can,16150,2010
can,16410,2011
chl,775.9,1971
chl,801.6,1972
chl,770.3,1973
chl,813.2,1974
chl,742.8,1975
chl,781.5,1976
chl,808.1,1977
chl,850.2,1978
chl,894.2,1979
chl,921.1,1980
chl,936.8,1981
chl,902.8,1982
chl,920.1,1983
chl,979.2,1984
chl,998.8,1985
chl,1038,1986
chl,1063,1987
chl,1129,1988
chl,1216,1989
chl,1243,1990
chl,1318,1991
chl,1459,1992
chl,1513,1993
chl,1584,1994
chl,1738,1995
chl,1917,1996
chl,2057,1997
chl,2163,1998
chl,2377,1999
chl,2481,2000
chl,2608,2001
chl,2705,2002
chl,2871,2003
chl,3035,2004
chl,3066,2005
chl,3193,2006
chl,3312,2007
chl,3314,2008
chl,3276,2009
chl,3290,2010
chl,3568,2011
chn,151.2,1971
chn,162.5,1972
chn,173.8,1973
chn,172.3,1974
chn,196.4,1975
chn,200.6,1976
chn,217.6,1977
chn,246.6,1978
chn,267.4,1979
chn,281.6,1980
chn,285.8,1981
chn,299.2,1982
chn,317,1983
chn,336.4,1984
chn,362.8,1985
