geo,renewable_water_cu_meters_per_person,time
hti,2624,1977
hti,2354,1982
hti,2101,1987
hti,1895,1992
hti,1725,1997
hti,1583,2002
hti,1485,2007
hnd,44820,1962
hnd,38580,1967
hnd,33730,1972
hnd,29020,1977
hnd,24820,1982
hnd,21370,1987
hnd,18570,1992
hnd,16470,1997
hnd,14880,2002
hnd,13770,2007
hun,10350,1962
hun,10170,1967
hun,9988,1972
hun,9792,1977
hun,9731,1982
hun,9919,1987
hun,10060,1992
hun,10100,1997
hun,10230,2002
hun,10340,2007
isl,929700,1962
isl,863000,1967
isl,810600,1972
isl,764900,1977
isl,729200,1982
isl,688700,1987
isl,654100,1992
isl,623300,1997
isl,592400,2002
isl,569600,2007
ind,4086,1962
ind,3682,1967
ind,3305,1972
ind,2952,1977
ind,2632,1982
ind,2353,1987
ind,2113,1992
ind,1913,1997
ind,1753,2002
ind,1647,2007
idn,28320,1962
idn,25270,1967
idn,22470,1972
idn,20040,1977
idn,18010,1982
idn,16340,1987
idn,15040,1992
idn,13970,1997
idn,13050,2002
idn,12400,2007
irn,6006,1962
irn,5214,1967
irn,4506,1972
irn,3881,1977
irn,3216,1982
irn,2646,1987
irn,2323,1992
irn,2152,1997
irn,2041,2002
irn,1957,2007
irq,9684,1962
irq,8254,1967
irq,6990,1972
irq,5907,1977
irq,5049,1982
irq,4415,1987
irq,3845,1992
irq,3286,1997
irq,2875,2002
irq,2652,2007
irl,18320,1962
irl,17950,1967
irl,17160,1972
irl,15890,1977
irl,14970,1982
irl,14710,1987
irl,14710,1992
irl,14160,1997
irl,13250,2002
irl,12320,2007
isr,776.3,1962
isr,659.4,1967
isr,579.3,1972
isr,504.1,1977
isr,456,1982
isr,420.6,1987
isr,368.6,1992
isr,313.2,1997
isr,281,2002
isr,261.4,2007
ita,3755,1962
ita,3622,1967
ita,3510,1972
ita,3420,1977
ita,3382,1982
ita,3380,1987
ita,3360,1992
ita,3330,1997
ita,3295,2002
ita,3255,2007
jam,5601,1962
jam,5213,1967
jam,4885,1972
jam,4565,1977
jam,4273,1982
jam,4034,1987
jam,3900,1992
jam,3719,1997
jam,3578,2002
jam,3485,2007
jpn,4483,1962
jpn,4262,1967
jpn,4012,1972
jpn,3776,1977
jpn,3627,1982
jpn,3523,1987
jpn,3457,1992
jpn,3409,1997
jpn,3373,2002
jpn,3361,2007
jor,973.6,1962
jor,721.2,1967
jor,528.6,1972
jor,459.2,1977
jor,390.1,1982
jor,324.5,1987
jor,255.4,1992
jor,206.3,1997
jor,185.4,2002
jor,163.6,2007
kaz,6672,1992
kaz,7084,1997
kaz,7340,2002
kaz,7157,2007
ken,3552,1962
