geo,hydro_power_generation_per_person,time
bra,0.09107,1980
bra,0.09025,1981
bra,0.09517,1982
bra,0.09984,1983
bra,0.1074,1984
bra,0.1126,1985
bra,0.1128,1986
bra,0.1126,1987
bra,0.1185,1988
bra,0.1197,1989
bra,0.1188,1990
bra,0.1231,1991
bra,0.1242,1992
bra,0.1288,1993
bra,0.1309,1994
bra,0.1349,1995
bra,0.1391,1996
bra,0.1437,1997
bra,0.1479,1998
bra,0.1465,1999
bra,0.1501,2000
bra,0.1302,2001
bra,0.1372,2002
bra,0.1447,2003
bra,0.15,2004
bra,0.156,2005
bra,0.1596,2006
bra,0.1694,2007
bra,0.1659,2008
bra,0.174,2009
bra,0.1779,2010
bgr,0.02185,1971
bgr,0.02097,1972
bgr,0.02558,1973
bgr,0.0206,1974
bgr,0.02419,1975
bgr,0.02901,1976
bgr,0.03454,1977
bgr,0.02839,1978
bgr,0.03222,1979
bgr,0.03603,1980
bgr,0.035,1981
bgr,0.02942,1982
bgr,0.03224,1983
bgr,0.0313,1984
bgr,0.02146,1985
bgr,0.02233,1986
bgr,0.0244,1987
bgr,0.02503,1988
bgr,0.02607,1989
bgr,0.01831,1990
bgr,0.02401,1991
bgr,0.0205,1992
bgr,0.01953,1993
bgr,0.01494,1994
bgr,0.02381,1995
bgr,0.03034,1996
bgr,0.02889,1997
bgr,0.03275,1998
bgr,0.02934,1999
bgr,0.02871,2000
bgr,0.01879,2001
bgr,0.0239,2002
bgr,0.03322,2003
bgr,0.03497,2004
bgr,0.04819,2005
bgr,0.04739,2006
bgr,0.03234,2007
bgr,0.03199,2008
bgr,0.03956,2009
bgr,0.05802,2010
khm,0.00019,2002
khm,0.00027,2003
khm,0.00018,2004
khm,0.00028,2005
khm,0.00031,2006
khm,0.0003,2007
khm,0.00027,2008
khm,0.00023,2009
khm,0.00016,2010
cmr,0.01281,1971
cmr,0.0128,1972
cmr,0.0124,1973
cmr,0.01343,1974
cmr,0.01421,1975
cmr,0.01338,1976
