geo,malaria_cases_per_100000_reported,time
guf,2037,2003
guf,1625,2004
guf,1777,2005
guf,2066,2006
gtm,468.3,1990
gtm,634.3,1991
gtm,616.9,1992
gtm,438.4,1993
gtm,225.6,1994
gtm,241.7,1995
gtm,198,1996
gtm,306.5,1997
gtm,445.1,1998
gtm,411.3,1999
gtm,474.7,2000
gtm,311.4,2001
gtm,300.9,2002
gtm,257.4,2003
gtm,233.5,2004
gtm,311.3,2005
gtm,238.7,2006
guy,3104,1990
guy,5779,1991
guy,5424,1992
guy,4514,1993
guy,5365,1994
guy,8026,1995
guy,4350,1997
guy,5596,1998
guy,3712,1999
guy,3270,2000
guy,3690,2001
guy,2974,2002
guy,3745,2003
guy,3906,2004
guy,5272,2005
guy,2841,2006
hti,67.6,1990
hti,351.7,1991
hti,181.9,1992
hti,11.31,1993
hti,300.9,1994
hti,236.5,1996
hti,416.1,1998
hti,14.19,1999
hti,197.1,2000
hti,112.8,2001
hti,109.2,2003
hti,118.1,2004
hti,234.3,2005
hti,346.6,2006
hnd,1086,1990
hnd,1459,1991
hnd,1371,1992
hnd,839.4,1993
hnd,958.2,1994
hnd,1067,1995
hnd,1307,1996
hnd,1131,1997
hnd,722.5,1998
hnd,769.8,1999
hnd,566.9,2000
hnd,382.1,2001
hnd,267.2,2002
hnd,214.9,2003
hnd,258,2004
hnd,234.2,2005
hnd,165.9,2006
jam,14.16,2006
mex,52.99,1990
mex,31.07,1991
mex,18.58,1992
mex,17.83,1993
mex,14.26,1994
mex,7.982,1995
mex,6.731,1996
mex,5.047,1997
mex,25.83,1998
mex,13.67,1999
mex,7.382,2000
mex,4.854,2001
mex,4.545,2002
mex,3.725,2003
mex,3.296,2004
mex,2.846,2005
nic,864.2,1990
nic,652.1,1991
nic,618.2,1992
nic,988.7,1993
nic,909.6,1994
nic,1489,1995
nic,1588,1996
nic,882,1997
nic,685.8,1998
nic,769.2,1999
nic,470.1,2000
nic,202.2,2001
nic,146.4,2002
nic,126.1,2003
nic,127.9,2004
nic,121.6,2005
nic,56.29,2006
pan,15.8,1990
pan,45.31,1991
pan,28.95,1992
pan,18.76,1993
pan,26.14,1994
pan,27.34,1995
pan,17.47,1996
pan,18.16,1997
pan,36.62,1998
pan,32.35,1999
pan,35.12,2000
pan,30.87,2001
pan,71.93,2002
pan,143.6,2003
pan,160.5,2004
pan,113.5,2005
pan,50.58,2006
pry,68.56,1990
pry,68.45,1991
pry,28.85,1992
pry,9.523,1993
pry,12.43,1994
pry,18.71,1995
pry,12.98,1996
pry,11.3,1997
pry,40.77,1998
pry,189.9,1999
pry,128.1,2000
pry,49.63,2001
pry,49.87,2002
pry,24.5,2003
pry,11.98,2004
pry,6.368,2005
pry,13.68,2006
per,132.7,1990
per,151.8,1991
per,242.7,1992
per,413.1,1993
per,520.2,1994
per,807.4,1995
per,858.6,1996
per,746.5,1997
per,989.1,1998
per,657.8,1999
per,271.7,2000
per,305.7,2001
per,325.8,2002
per,298.3,2003
per,347.1,2004
sur,399.7,1990
sur,367.8,1991
sur,344.4,1992
sur,1140,1994
sur,1588,1995
sur,3968,1996
sur,2672,1997
sur,2899,1998
sur,3224,1999
sur,3009,2000
sur,3879,2001
sur,2952,2002
sur,3282,2003
sur,1821,2004
sur,1931,2005
sur,797.5,2006
ven,237.8,1990
ven,215,1991
ven,103.6,1992
ven,59.3,1993
ven,63.51,1994
ven,74.15,1995
ven,83.65,1996
ven,97.35,1997
ven,93.13,1998
ven,79.73,1999
ven,121.9,2000
ven,118.6,2001
ven,116.4,2002
ven,123,2003
ven,177.7,2004
ven,168.6,2005
ven,136.3,2006
afg,2508,1990
afg,2201,1991
afg,512.1,1994
afg,1601,1996
afg,1041,1997
afg,1452,1998
afg,1701,2001
afg,2822,2002
afg,2533,2003
afg,1086,2004
afg,980.9,2005
afg,1041,2006
dji,577.4,1990
dji,1266,1991
dji,1261,1992
dji,692.8,1993
dji,1005,1994
dji,958.4,1995
dji,950.8,1996
dji,650.2,1997
dji,862.1,1998
dji,865.5,1999
dji,639.5,2000
dji,577,2001
dji,658.3,2002
dji,648.3,2003
dji,271,2004
dji,322.1,2005
dji,941.7,2006
egy,0.136,1990
egy,0.04265,1991
egy,0.02789,1992
egy,0.02909,1993
egy,0.8851,1994
egy,0.5309,1995
egy,0.04046,1996
egy,0.01748,1997
egy,0.02027,1998
egy,0.09339,1999
egy,0.02555,2000
egy,0.01623,2001
egy,0.01449,2002
egy,0.06404,2003
egy,0.0601,2004
egy,0.03157,2005
egy,0.0391,2006
irn,136.7,1990
irn,166.1,1991
irn,130,1992
irn,107.2,1993
irn,83.39,1994
irn,108.6,1995
irn,89.35,1996
irn,60.52,1997
irn,50.93,1998
irn,35.32,1999
irn,29.82,2000
irn,28.91,2001
irn,23.09,2002
irn,34.65,2003
irn,20.13,2004
irn,27.32,2005
irn,22.64,2006
irq,21.19,1990
irq,9.251,1991
irq,29.25,1992
irq,245.6,1993
irq,468.7,1994
irq,456.3,1995
irq,223.3,1996
irq,60.66,1997
